Connection ID: 8e:42:85:b5:83:59:88:2d
RTT: 77.463 ms
Last Delay Timestamp: 2022-11-25 15:32:31
Loss Rate (Q bit calculated): 0.25634765625%

RTT Measurements:
  0: 59.368 ms :: 2022-11-25 15:31:55.284584
  1: 66.471 ms :: 2022-11-25 15:31:55.351056
  2: 53.573 ms :: 2022-11-25 15:31:55.404628
  3: 47.109 ms :: 2022-11-25 15:31:55.451738
  4: 73.981 ms :: 2022-11-25 15:31:55.688957
  5: 57.861 ms :: 2022-11-25 15:31:55.746819
  6: 53.863 ms :: 2022-11-25 15:31:55.800682
  7: 54.846 ms :: 2022-11-25 15:31:55.855528
  8: 41.131 ms :: 2022-11-25 15:31:55.896658
  9: 58.121 ms :: 2022-11-25 15:31:55.954780
 10: 55.198 ms :: 2022-11-25 15:31:56.009978
 11: 44.693 ms :: 2022-11-25 15:31:56.054671
 12: 46.891 ms :: 2022-11-25 15:31:56.101562
 13: 55.481 ms :: 2022-11-25 15:31:56.157042
 14: 47.298 ms :: 2022-11-25 15:31:56.204340
 15: 49.846 ms :: 2022-11-25 15:31:56.254187
 16: 67.262 ms :: 2022-11-25 15:31:56.321449
 17: 69.736 ms :: 2022-11-25 15:31:56.391185
 18: 78.244 ms :: 2022-11-25 15:31:56.716999
 19: 64.237 ms :: 2022-11-25 15:31:57.703146
 20: 65.708 ms :: 2022-11-25 15:31:57.768855
 21: 76.074 ms :: 2022-11-25 15:31:57.844928
 22: 61.923 ms :: 2022-11-25 15:31:57.906852
 23: 95.492 ms :: 2022-11-25 15:31:59.630454
 24: 98.155 ms :: 2022-11-25 15:32:00.630966
 25: 53.814 ms :: 2022-11-25 15:32:00.684781
 26: 55.409 ms :: 2022-11-25 15:32:00.990227
 27: 94.763 ms :: 2022-11-25 15:32:01.084990
 28: 90.045 ms :: 2022-11-25 15:32:01.175035
 29: 73.386 ms :: 2022-11-25 15:32:01.359036
 30: 68.324 ms :: 2022-11-25 15:32:01.427361
 31: 87.516 ms :: 2022-11-25 15:32:01.514877
 32: 85.475 ms :: 2022-11-25 15:32:01.709213
 33: 65.484 ms :: 2022-11-25 15:32:01.774697
 34: 95.227 ms :: 2022-11-25 15:32:02.822326
