Connection ID: cd:33:36:cc:b7:6c:89:63
RTT: 77.381 ms
Last Delay Timestamp: 2022-11-25 15:32:31
Loss Rate (Q bit calculated): 0.11160714285713969%

RTT Measurements:
  0: 76.248 ms :: 2022-11-25 15:31:55.302545
  1: 62.846 ms :: 2022-11-25 15:31:55.365391
  2: 46.786 ms :: 2022-11-25 15:31:55.412177
  3: 46.507 ms :: 2022-11-25 15:31:55.458683
  4: 62.276 ms :: 2022-11-25 15:31:55.690340
  5: 62.590 ms :: 2022-11-25 15:31:55.752931
  6: 62.583 ms :: 2022-11-25 15:31:55.815514
  7: 46.699 ms :: 2022-11-25 15:31:55.862212
  8: 47.070 ms :: 2022-11-25 15:31:55.909282
  9: 46.677 ms :: 2022-11-25 15:31:55.955960
 10: 62.912 ms :: 2022-11-25 15:31:56.018872
 11: 46.353 ms :: 2022-11-25 15:31:56.065224
 12: 46.831 ms :: 2022-11-25 15:31:56.112056
 13: 46.967 ms :: 2022-11-25 15:31:56.159023
 14: 46.766 ms :: 2022-11-25 15:31:56.205789
 15: 63.185 ms :: 2022-11-25 15:31:56.268974
 16: 62.042 ms :: 2022-11-25 15:31:56.331016
 17: 62.219 ms :: 2022-11-25 15:31:56.393234
 18: 77.561 ms :: 2022-11-25 15:31:56.721303
 19: 62.414 ms :: 2022-11-25 15:31:57.709949
 20: 62.513 ms :: 2022-11-25 15:31:57.772463
 21: 78.295 ms :: 2022-11-25 15:31:57.850758
 22: 62.313 ms :: 2022-11-25 15:31:57.913070
 23: 93.710 ms :: 2022-11-25 15:31:58.796984
 24: 93.750 ms :: 2022-11-25 15:31:59.638345
 25: 93.970 ms :: 2022-11-25 15:32:00.638521
 26: 62.327 ms :: 2022-11-25 15:32:00.700849
 27: 46.675 ms :: 2022-11-25 15:32:00.997375
 28: 93.968 ms :: 2022-11-25 15:32:01.091344
 29: 93.452 ms :: 2022-11-25 15:32:01.184796
 30: 78.098 ms :: 2022-11-25 15:32:01.372348
 31: 62.414 ms :: 2022-11-25 15:32:01.434762
 32: 93.736 ms :: 2022-11-25 15:32:01.528497
 33: 77.755 ms :: 2022-11-25 15:32:01.715867
 34: 62.607 ms :: 2022-11-25 15:32:01.778475
 35: 93.951 ms :: 2022-11-25 15:32:02.825262
 36: 78.183 ms :: 2022-11-25 15:32:03.717751
 37: 62.654 ms :: 2022-11-25 15:32:03.780405
 38: 77.521 ms :: 2022-11-25 15:32:04.050241
 39: 78.234 ms :: 2022-11-25 15:32:05.926613
 40: 77.759 ms :: 2022-11-25 15:32:06.884718
 41: 94.247 ms :: 2022-11-25 15:32:06.978965
 42: 92.148 ms :: 2022-11-25 15:32:07.379764
