Connection ID: 1d:18:50:51:c7:e3:d2:9f
RTT: 76.596 ms
Last Delay Timestamp: 2022-11-25 15:04:15
Loss Rate (Q bit calculated): 0.16434458398744134%

RTT Measurements:
  0: 47.727 ms :: 2022-11-25 15:01:12.655286
  1: 42.944 ms :: 2022-11-25 15:01:12.698230
  2: 65.398 ms :: 2022-11-25 15:01:12.763628
  3: 55.630 ms :: 2022-11-25 15:01:12.819257
  4: 56.322 ms :: 2022-11-25 15:01:12.875580
  5: 60.180 ms :: 2022-11-25 15:01:12.935760
  6: 68.371 ms :: 2022-11-25 15:01:13.004131
  7: 60.653 ms :: 2022-11-25 15:01:13.064784
  8: 68.797 ms :: 2022-11-25 15:01:13.133580
  9: 67.946 ms :: 2022-11-25 15:01:13.201527
 10: 47.543 ms :: 2022-11-25 15:01:13.249069
 11: 56.000 ms :: 2022-11-25 15:01:13.305069
 12: 70.974 ms :: 2022-11-25 15:01:13.376044
 13: 74.403 ms :: 2022-11-25 15:01:13.450447
 14: 61.742 ms :: 2022-11-25 15:01:13.512188
 15: 43.640 ms :: 2022-11-25 15:01:13.555829
 16: 62.360 ms :: 2022-11-25 15:01:13.618189
 17: 67.198 ms :: 2022-11-25 15:01:13.685386
 18: 84.575 ms :: 2022-11-25 15:01:13.883831
 19: 84.713 ms :: 2022-11-25 15:01:14.131159
 20: 68.919 ms :: 2022-11-25 15:01:14.474819
 21: 75.221 ms :: 2022-11-25 15:01:14.659270
 22: 66.177 ms :: 2022-11-25 15:01:15.441375
 23: 59.914 ms :: 2022-11-25 15:01:15.501288
 24: 83.595 ms :: 2022-11-25 15:01:15.584883
 25: 93.990 ms :: 2022-11-25 15:01:15.796132
 26: 86.198 ms :: 2022-11-25 15:01:15.882329
 27: 69.883 ms :: 2022-11-25 15:01:15.952213
 28: 76.538 ms :: 2022-11-25 15:01:17.280781
 29: 71.971 ms :: 2022-11-25 15:01:17.867918
 30: 85.462 ms :: 2022-11-25 15:01:18.060652
 31: 74.414 ms :: 2022-11-25 15:01:18.135066
 32: 73.532 ms :: 2022-11-25 15:01:18.208599
 33: 85.074 ms :: 2022-11-25 15:01:18.431828
 34: 75.065 ms :: 2022-11-25 15:01:18.506894
 35: 74.406 ms :: 2022-11-25 15:01:18.581300
 36: 47.161 ms :: 2022-11-25 15:01:18.628460
 37: 87.491 ms :: 2022-11-25 15:01:18.715951
 38: 48.041 ms :: 2022-11-25 15:01:18.763993
 39: 78.133 ms :: 2022-11-25 15:01:18.842125
 40: 72.803 ms :: 2022-11-25 15:01:18.914928
 41: 80.365 ms :: 2022-11-25 15:01:18.995294
 42: 82.500 ms :: 2022-11-25 15:01:19.077794
 43: 56.014 ms :: 2022-11-25 15:01:19.133807
 44: 37.237 ms :: 2022-11-25 15:01:19.171045
 45: 84.327 ms :: 2022-11-25 15:01:19.255372
 46: 64.535 ms :: 2022-11-25 15:01:19.319906
 47: 69.562 ms :: 2022-11-25 15:01:19.389468
 48: 50.270 ms :: 2022-11-25 15:01:19.439738
 49: 50.193 ms :: 2022-11-25 15:01:19.489932
 50: 81.480 ms :: 2022-11-25 15:01:19.571412
 51: 51.273 ms :: 2022-11-25 15:01:19.622684
 52: 59.590 ms :: 2022-11-25 15:01:19.682275
 53: 91.531 ms :: 2022-11-25 15:01:19.773806
 54: 84.416 ms :: 2022-11-25 15:01:19.858222
 55: 58.064 ms :: 2022-11-25 15:01:19.916285
 56: 61.743 ms :: 2022-11-25 15:01:19.978029
 57: 53.900 ms :: 2022-11-25 15:01:20.031929
 58: 58.479 ms :: 2022-11-25 15:01:20.090408
 59: 80.125 ms :: 2022-11-25 15:01:20.170532
 60: 68.710 ms :: 2022-11-25 15:01:20.239243
 61: 86.193 ms :: 2022-11-25 15:01:20.325436
 62: 47.527 ms :: 2022-11-25 15:01:20.372962
 63: 73.633 ms :: 2022-11-25 15:01:20.446595
 64: 55.470 ms :: 2022-11-25 15:01:20.502065
 65: 92.907 ms :: 2022-11-25 15:01:20.594973
 66: 75.854 ms :: 2022-11-25 15:01:22.118619
 67: 58.435 ms :: 2022-11-25 15:01:22.278358
 68: 86.669 ms :: 2022-11-25 15:01:22.500849
 69: 97.338 ms :: 2022-11-25 15:01:22.598186
 70: 67.891 ms :: 2022-11-25 15:01:22.820808
 71: 99.606 ms :: 2022-11-25 15:01:23.239118
 72: 84.237 ms :: 2022-11-25 15:01:25.471678
 73: 72.123 ms :: 2022-11-25 15:01:25.683789
 74: 79.863 ms :: 2022-11-25 15:01:25.763653
 75: 66.908 ms :: 2022-11-25 15:01:26.217009
 76: 60.875 ms :: 2022-11-25 15:01:26.277884
 77: 74.070 ms :: 2022-11-25 15:01:26.351953
 78: 54.036 ms :: 2022-11-25 15:01:26.405989
 79: 48.209 ms :: 2022-11-25 15:01:26.454199
 80: 66.494 ms :: 2022-11-25 15:01:26.520693
 81: 60.603 ms :: 2022-11-25 15:01:26.581295
 82: 54.625 ms :: 2022-11-25 15:01:26.635921
 83: 45.174 ms :: 2022-11-25 15:01:26.681094
 84: 71.847 ms :: 2022-11-25 15:01:26.752942
 85: 54.584 ms :: 2022-11-25 15:01:26.807526
 86: 51.383 ms :: 2022-11-25 15:01:26.858908
 87: 96.243 ms :: 2022-11-25 15:01:26.955152
 88: 87.906 ms :: 2022-11-25 15:01:27.043057
 89: 65.596 ms :: 2022-11-25 15:01:27.108654
 90: 46.930 ms :: 2022-11-25 15:01:27.155584
 91: 77.063 ms :: 2022-11-25 15:01:27.522337
 92: 54.194 ms :: 2022-11-25 15:01:28.018579
 93: 96.651 ms :: 2022-11-25 15:01:28.439443
 94: 49.627 ms :: 2022-11-25 15:01:28.856650
 95: 74.050 ms :: 2022-11-25 15:01:28.930700
 96: 87.210 ms :: 2022-11-25 15:01:29.276420
 97: 89.637 ms :: 2022-11-25 15:01:29.366056
 98: 78.091 ms :: 2022-11-25 15:01:29.706836
 99: 92.138 ms :: 2022-11-25 15:01:29.798974
100: 66.127 ms :: 2022-11-25 15:01:29.865102
101: 80.673 ms :: 2022-11-25 15:01:29.945775
102: 95.370 ms :: 2022-11-25 15:01:30.041145
103: 56.147 ms :: 2022-11-25 15:01:31.207957
104: 72.949 ms :: 2022-11-25 15:01:31.280906
105: 72.309 ms :: 2022-11-25 15:01:31.353215
106: 47.603 ms :: 2022-11-25 15:01:31.808144
107: 65.449 ms :: 2022-11-25 15:01:32.108236
108: 94.804 ms :: 2022-11-25 15:01:32.350498
109: 63.991 ms :: 2022-11-25 15:01:34.012909
110: 77.355 ms :: 2022-11-25 15:01:34.410926
111: 98.227 ms :: 2022-11-25 15:01:34.759871
112: 79.709 ms :: 2022-11-25 15:01:34.839580
113: 80.899 ms :: 2022-11-25 15:01:35.922857
114: 99.384 ms :: 2022-11-25 15:01:36.122574
115: 89.158 ms :: 2022-11-25 15:01:36.488550
116: 94.823 ms :: 2022-11-25 15:01:36.583374
117: 73.991 ms :: 2022-11-25 15:01:36.657365
118: 70.885 ms :: 2022-11-25 15:01:36.728250
119: 82.702 ms :: 2022-11-25 15:01:36.810951
120: 80.732 ms :: 2022-11-25 15:01:39.217834
121: 68.501 ms :: 2022-11-25 15:01:39.509926
122: 94.159 ms :: 2022-11-25 15:01:39.740777
123: 99.094 ms :: 2022-11-25 15:01:40.092431
124: 66.042 ms :: 2022-11-25 15:01:41.042012
125: 80.390 ms :: 2022-11-25 15:01:41.122402
126: 79.271 ms :: 2022-11-25 15:01:41.806447
127: 75.146 ms :: 2022-11-25 15:01:42.480837
128: 98.299 ms :: 2022-11-25 15:01:42.579135
129: 82.979 ms :: 2022-11-25 15:01:43.094918
130: 87.760 ms :: 2022-11-25 15:01:43.182677
131: 83.776 ms :: 2022-11-25 15:01:43.895530
132: 47.970 ms :: 2022-11-25 15:01:45.546068
133: 93.640 ms :: 2022-11-25 15:01:45.639708
134: 88.624 ms :: 2022-11-25 15:01:45.885003
135: 55.059 ms :: 2022-11-25 15:01:46.262552
136: 66.746 ms :: 2022-11-25 15:01:46.987483
137: 74.537 ms :: 2022-11-25 15:01:47.593842
138: 69.904 ms :: 2022-11-25 15:01:48.440604
139: 99.155 ms :: 2022-11-25 15:01:48.779907
140: 85.488 ms :: 2022-11-25 15:01:49.257091
141: 96.155 ms :: 2022-11-25 15:01:50.251473
142: 75.565 ms :: 2022-11-25 15:01:50.327039
143: 94.164 ms :: 2022-11-25 15:01:52.995573
144: 80.181 ms :: 2022-11-25 15:01:53.352454
145: 91.843 ms :: 2022-11-25 15:01:53.444298
146: 85.427 ms :: 2022-11-25 15:01:53.529725
147: 74.896 ms :: 2022-11-25 15:01:53.925173
148: 65.075 ms :: 2022-11-25 15:01:54.268673
149: 90.593 ms :: 2022-11-25 15:01:54.359266
150: 78.715 ms :: 2022-11-25 15:01:54.437982
151: 93.165 ms :: 2022-11-25 15:01:54.531147
152: 91.305 ms :: 2022-11-25 15:01:55.810889
153: 84.303 ms :: 2022-11-25 15:01:56.116765
154: 91.007 ms :: 2022-11-25 15:01:57.545736
155: 90.306 ms :: 2022-11-25 15:01:58.024425
156: 76.034 ms :: 2022-11-25 15:02:00.598310
157: 99.557 ms :: 2022-11-25 15:02:00.823555
158: 91.164 ms :: 2022-11-25 15:02:01.478183
159: 93.403 ms :: 2022-11-25 15:02:02.255749
160: 70.108 ms :: 2022-11-25 15:02:02.325858
161: 92.168 ms :: 2022-11-25 15:02:02.528532
162: 98.294 ms :: 2022-11-25 15:02:02.739042
163: 59.634 ms :: 2022-11-25 15:02:03.216453
164: 84.270 ms :: 2022-11-25 15:02:03.300723
165: 83.943 ms :: 2022-11-25 15:02:03.705929
166: 51.799 ms :: 2022-11-25 15:02:03.872860
167: 55.717 ms :: 2022-11-25 15:02:04.829269
168: 55.031 ms :: 2022-11-25 15:02:04.884300
169: 68.741 ms :: 2022-11-25 15:02:04.953042
170: 51.077 ms :: 2022-11-25 15:02:05.411247
171: 73.339 ms :: 2022-11-25 15:02:05.484586
172: 60.836 ms :: 2022-11-25 15:02:05.545423
173: 68.629 ms :: 2022-11-25 15:02:05.614052
174: 64.702 ms :: 2022-11-25 15:02:05.678754
175: 93.539 ms :: 2022-11-25 15:02:05.772293
176: 71.434 ms :: 2022-11-25 15:02:05.843727
177: 65.581 ms :: 2022-11-25 15:02:06.027230
178: 68.380 ms :: 2022-11-25 15:02:06.095609
179: 70.059 ms :: 2022-11-25 15:02:06.165668
180: 40.274 ms :: 2022-11-25 15:02:06.205943
181: 89.654 ms :: 2022-11-25 15:02:06.295597
182: 78.779 ms :: 2022-11-25 15:02:06.374376
183: 52.691 ms :: 2022-11-25 15:02:06.923823
184: 62.816 ms :: 2022-11-25 15:02:06.986639
185: 64.044 ms :: 2022-11-25 15:02:07.050683
186: 62.808 ms :: 2022-11-25 15:02:07.113491
187: 57.556 ms :: 2022-11-25 15:02:07.171046
188: 72.729 ms :: 2022-11-25 15:02:07.243776
189: 67.857 ms :: 2022-11-25 15:02:07.311633
190: 56.707 ms :: 2022-11-25 15:02:07.368340
191: 69.646 ms :: 2022-11-25 15:02:07.437985
192: 74.622 ms :: 2022-11-25 15:02:07.619384
193: 63.518 ms :: 2022-11-25 15:02:07.682902
194: 76.303 ms :: 2022-11-25 15:02:07.759205
195: 52.753 ms :: 2022-11-25 15:02:07.811958
196: 79.096 ms :: 2022-11-25 15:02:12.563503
197: 97.137 ms :: 2022-11-25 15:02:13.159936
198: 98.188 ms :: 2022-11-25 15:02:13.468400
199: 82.525 ms :: 2022-11-25 15:02:13.550925
200: 80.475 ms :: 2022-11-25 15:02:15.605941
201: 73.188 ms :: 2022-11-25 15:02:17.869539
202: 93.964 ms :: 2022-11-25 15:02:17.963502
203: 60.325 ms :: 2022-11-25 15:02:18.023828
204: 43.765 ms :: 2022-11-25 15:02:18.067593
205: 87.302 ms :: 2022-11-25 15:02:18.154895
206: 64.282 ms :: 2022-11-25 15:02:18.219177
207: 53.739 ms :: 2022-11-25 15:02:18.459362
208: 56.667 ms :: 2022-11-25 15:02:18.516028
209: 57.805 ms :: 2022-11-25 15:02:18.573833
210: 60.561 ms :: 2022-11-25 15:02:18.634394
211: 68.734 ms :: 2022-11-25 15:02:19.202131
212: 73.415 ms :: 2022-11-25 15:02:19.275547
213: 97.020 ms :: 2022-11-25 15:02:19.372566
214: 54.218 ms :: 2022-11-25 15:02:20.244502
215: 48.278 ms :: 2022-11-25 15:02:21.330887
216: 47.254 ms :: 2022-11-25 15:02:21.378140
217: 71.407 ms :: 2022-11-25 15:02:21.449548
218: 47.023 ms :: 2022-11-25 15:02:21.496571
219: 65.665 ms :: 2022-11-25 15:02:21.918565
220: 99.114 ms :: 2022-11-25 15:02:22.017678
221: 67.661 ms :: 2022-11-25 15:02:22.085340
222: 76.332 ms :: 2022-11-25 15:02:22.449148
223: 85.049 ms :: 2022-11-25 15:02:22.696110
224: 91.303 ms :: 2022-11-25 15:02:22.787412
225: 60.715 ms :: 2022-11-25 15:02:22.982414
226: 68.005 ms :: 2022-11-25 15:02:23.050420
227: 59.717 ms :: 2022-11-25 15:02:23.110136
228: 65.371 ms :: 2022-11-25 15:02:23.307902
229: 66.030 ms :: 2022-11-25 15:02:23.373931
230: 92.675 ms :: 2022-11-25 15:02:23.466607
231: 59.164 ms :: 2022-11-25 15:02:23.525770
232: 75.027 ms :: 2022-11-25 15:02:23.600797
233: 81.106 ms :: 2022-11-25 15:02:23.681904
234: 78.459 ms :: 2022-11-25 15:02:24.000665
235: 58.801 ms :: 2022-11-25 15:02:24.830208
236: 44.661 ms :: 2022-11-25 15:02:24.874869
