Connection ID: 60:26:bb:7d:7f:f5:bd:42
RTT: 76.399 ms
Last Delay Timestamp: 2022-11-25 15:04:15
Loss Rate (Q bit calculated): 0.022007042253524567%

RTT Measurements:
  0: 46.601 ms :: 2022-11-25 15:01:12.656320
  1: 48.183 ms :: 2022-11-25 15:01:12.704503
  2: 71.080 ms :: 2022-11-25 15:01:12.775583
  3: 56.271 ms :: 2022-11-25 15:01:12.831854
  4: 47.937 ms :: 2022-11-25 15:01:12.879791
  5: 65.342 ms :: 2022-11-25 15:01:12.945132
  6: 62.621 ms :: 2022-11-25 15:01:13.007754
  7: 62.791 ms :: 2022-11-25 15:01:13.070544
  8: 71.361 ms :: 2022-11-25 15:01:13.141906
  9: 66.251 ms :: 2022-11-25 15:01:13.208157
 10: 46.399 ms :: 2022-11-25 15:01:13.254555
 11: 63.136 ms :: 2022-11-25 15:01:13.317692
 12: 64.327 ms :: 2022-11-25 15:01:13.382019
 13: 72.090 ms :: 2022-11-25 15:01:13.454108
 14: 63.705 ms :: 2022-11-25 15:01:13.517813
 15: 46.007 ms :: 2022-11-25 15:01:13.563821
 16: 64.988 ms :: 2022-11-25 15:01:13.628808
 17: 61.964 ms :: 2022-11-25 15:01:13.690773
 18: 92.373 ms :: 2022-11-25 15:01:13.895059
 19: 77.465 ms :: 2022-11-25 15:01:14.133452
 20: 80.251 ms :: 2022-11-25 15:01:14.490189
 21: 78.474 ms :: 2022-11-25 15:01:14.670851
 22: 62.564 ms :: 2022-11-25 15:01:15.451586
 23: 62.586 ms :: 2022-11-25 15:01:15.514172
 24: 83.650 ms :: 2022-11-25 15:01:15.597821
 25: 87.627 ms :: 2022-11-25 15:01:15.809371
 26: 86.997 ms :: 2022-11-25 15:01:15.896368
 27: 63.434 ms :: 2022-11-25 15:01:15.959803
 28: 78.453 ms :: 2022-11-25 15:01:17.283318
 29: 72.710 ms :: 2022-11-25 15:01:17.883363
 30: 87.609 ms :: 2022-11-25 15:01:18.072655
 31: 78.038 ms :: 2022-11-25 15:01:18.150693
 32: 69.173 ms :: 2022-11-25 15:01:18.219866
 33: 82.142 ms :: 2022-11-25 15:01:18.442636
 34: 77.811 ms :: 2022-11-25 15:01:18.520447
 35: 70.854 ms :: 2022-11-25 15:01:18.591300
 36: 46.755 ms :: 2022-11-25 15:01:18.638056
 37: 85.736 ms :: 2022-11-25 15:01:18.723792
 38: 47.124 ms :: 2022-11-25 15:01:18.770915
 39: 80.516 ms :: 2022-11-25 15:01:18.851432
 40: 76.279 ms :: 2022-11-25 15:01:18.927711
 41: 79.852 ms :: 2022-11-25 15:01:19.007563
 42: 70.930 ms :: 2022-11-25 15:01:19.078493
 43: 56.872 ms :: 2022-11-25 15:01:19.135365
