Connection ID: 02:3a:44:46:69:bc:fd:fc
RTT: 73.295 ms
Last Delay Timestamp: 2022-11-26 15:25:14
Loss Rate (Q bit calculated): 0.04832474226804662%

RTT Measurements:
  0: 94.711 ms :: 2022-11-26 15:21:44.757272
  1: 79.116 ms :: 2022-11-26 15:21:44.836388
  2: 61.710 ms :: 2022-11-26 15:21:44.898097
  3: 62.428 ms :: 2022-11-26 15:21:44.960525
  4: 79.059 ms :: 2022-11-26 15:21:45.039585
  5: 61.387 ms :: 2022-11-26 15:21:45.100971
  6: 93.873 ms :: 2022-11-26 15:21:45.194844
  7: 71.611 ms :: 2022-11-26 15:21:45.266455
  8: 93.668 ms :: 2022-11-26 15:21:45.360124
  9: 62.898 ms :: 2022-11-26 15:21:45.423022
 10: 78.116 ms :: 2022-11-26 15:21:45.501137
 11: 78.049 ms :: 2022-11-26 15:21:46.610316
 12: 62.567 ms :: 2022-11-26 15:21:47.690700
 13: 63.342 ms :: 2022-11-26 15:21:47.754041
 14: 62.004 ms :: 2022-11-26 15:21:47.816045
 15: 93.223 ms :: 2022-11-26 15:21:47.909269
 16: 62.517 ms :: 2022-11-26 15:21:47.971786
 17: 78.069 ms :: 2022-11-26 15:21:48.049854
 18: 71.045 ms :: 2022-11-26 15:21:48.120899
 19: 78.137 ms :: 2022-11-26 15:21:48.199037
 20: 56.251 ms :: 2022-11-26 15:21:48.255287
 21: 78.135 ms :: 2022-11-26 15:21:48.333422
 22: 77.373 ms :: 2022-11-26 15:21:48.410795
 23: 78.471 ms :: 2022-11-26 15:21:48.489267
 24: 78.081 ms :: 2022-11-26 15:21:48.567348
 25: 62.026 ms :: 2022-11-26 15:21:48.629374
 26: 47.066 ms :: 2022-11-26 15:21:48.676440
 27: 87.244 ms :: 2022-11-26 15:21:48.763684
 28: 78.583 ms :: 2022-11-26 15:21:48.842267
 29: 77.533 ms :: 2022-11-26 15:21:48.919800
 30: 78.073 ms :: 2022-11-26 15:21:48.997873
 31: 78.028 ms :: 2022-11-26 15:21:49.075901
 32: 62.102 ms :: 2022-11-26 15:21:49.138003
 33: 78.116 ms :: 2022-11-26 15:21:49.216119
 34: 94.240 ms :: 2022-11-26 15:21:49.310359
 35: 61.990 ms :: 2022-11-26 15:21:49.372349
 36: 62.903 ms :: 2022-11-26 15:21:49.435251
 37: 78.138 ms :: 2022-11-26 15:21:49.513390
 38: 77.723 ms :: 2022-11-26 15:21:49.591113
 39: 78.267 ms :: 2022-11-26 15:21:49.669379
 40: 63.027 ms :: 2022-11-26 15:21:49.732407
 41: 61.703 ms :: 2022-11-26 15:21:49.794110
 42: 62.552 ms :: 2022-11-26 15:21:49.856662
 43: 78.913 ms :: 2022-11-26 15:21:49.935575
 44: 78.138 ms :: 2022-11-26 15:21:50.013712
 45: 77.604 ms :: 2022-11-26 15:21:50.091316
 46: 63.201 ms :: 2022-11-26 15:21:50.154517
 47: 61.740 ms :: 2022-11-26 15:21:50.216258
 48: 62.669 ms :: 2022-11-26 15:21:50.419085
 49: 77.896 ms :: 2022-11-26 15:21:50.496980
 50: 62.749 ms :: 2022-11-26 15:21:50.559730
 51: 78.053 ms :: 2022-11-26 15:21:50.637783
 52: 78.317 ms :: 2022-11-26 15:21:50.716099
 53: 77.808 ms :: 2022-11-26 15:21:50.793908
 54: 78.234 ms :: 2022-11-26 15:21:51.075314
 55: 78.938 ms :: 2022-11-26 15:21:51.154253
 56: 77.378 ms :: 2022-11-26 15:21:51.231631
 57: 93.194 ms :: 2022-11-26 15:21:51.434235
 58: 78.738 ms :: 2022-11-26 15:21:51.512973
 59: 77.829 ms :: 2022-11-26 15:21:51.590801
 60: 77.650 ms :: 2022-11-26 15:21:52.699997
 61: 61.937 ms :: 2022-11-26 15:21:52.761934
 62: 61.582 ms :: 2022-11-26 15:21:53.854348
 63: 93.605 ms :: 2022-11-26 15:21:53.947953
 64: 62.732 ms :: 2022-11-26 15:21:54.010685
 65: 77.903 ms :: 2022-11-26 15:21:54.088588
 66: 79.127 ms :: 2022-11-26 15:21:54.167716
 67: 46.267 ms :: 2022-11-26 15:21:54.213983
 68: 61.831 ms :: 2022-11-26 15:21:55.306833
 69: 62.661 ms :: 2022-11-26 15:21:55.369494
 70: 77.493 ms :: 2022-11-26 15:21:56.509929
 71: 78.223 ms :: 2022-11-26 15:21:57.619126
 72: 62.740 ms :: 2022-11-26 15:21:57.681865
 73: 78.174 ms :: 2022-11-26 15:21:57.760040
 74: 78.123 ms :: 2022-11-26 15:21:57.838162
 75: 62.325 ms :: 2022-11-26 15:21:57.900487
 76: 77.770 ms :: 2022-11-26 15:21:57.978257
 77: 78.236 ms :: 2022-11-26 15:21:58.056493
 78: 78.447 ms :: 2022-11-26 15:21:59.176860
 79: 77.960 ms :: 2022-11-26 15:21:59.254820
 80: 62.382 ms :: 2022-11-26 15:21:59.317202
 81: 62.496 ms :: 2022-11-26 15:21:59.379698
 82: 78.045 ms :: 2022-11-26 15:21:59.457742
 83: 78.031 ms :: 2022-11-26 15:21:59.535773
 84: 94.816 ms :: 2022-11-26 15:21:59.630589
 85: 61.318 ms :: 2022-11-26 15:21:59.691907
