Connection ID: 0d:e6:9b:f8:74:2f:0d:9b
RTT: 73.359 ms
Last Delay Timestamp: 2022-11-26 15:25:14
Loss Rate (Q bit calculated): 10.053571428571429%

RTT Measurements:
  0: 88.851 ms :: 2022-11-26 15:21:44.743408
  1: 79.569 ms :: 2022-11-26 15:21:44.822978
  2: 61.128 ms :: 2022-11-26 15:21:44.884105
  3: 73.787 ms :: 2022-11-26 15:21:44.957892
  4: 64.202 ms :: 2022-11-26 15:21:45.022094
  5: 73.521 ms :: 2022-11-26 15:21:45.095616
  6: 85.406 ms :: 2022-11-26 15:21:45.181021
  7: 73.233 ms :: 2022-11-26 15:21:45.254255
  8: 60.922 ms :: 2022-11-26 15:21:45.418464
  9: 67.144 ms :: 2022-11-26 15:21:45.485609
 10: 59.694 ms :: 2022-11-26 15:21:47.744250
 11: 70.364 ms :: 2022-11-26 15:21:47.814614
 12: 80.306 ms :: 2022-11-26 15:21:47.894920
 13: 73.513 ms :: 2022-11-26 15:21:47.968432
 14: 73.092 ms :: 2022-11-26 15:21:48.041524
 15: 67.984 ms :: 2022-11-26 15:21:48.109508
 16: 74.061 ms :: 2022-11-26 15:21:48.183569
 17: 66.756 ms :: 2022-11-26 15:21:48.250325
 18: 67.441 ms :: 2022-11-26 15:21:48.317766
 19: 80.066 ms :: 2022-11-26 15:21:48.397833
 20: 89.300 ms :: 2022-11-26 15:21:48.487133
 21: 76.127 ms :: 2022-11-26 15:21:48.563260
 22: 59.468 ms :: 2022-11-26 15:21:48.622728
 23: 40.163 ms :: 2022-11-26 15:21:48.662890
 24: 87.906 ms :: 2022-11-26 15:21:48.750797
 25: 74.035 ms :: 2022-11-26 15:21:48.824831
 26: 79.666 ms :: 2022-11-26 15:21:48.904498
 27: 78.603 ms :: 2022-11-26 15:21:48.983100
 28: 81.391 ms :: 2022-11-26 15:21:49.064491
 29: 65.407 ms :: 2022-11-26 15:21:49.129899
 30: 82.259 ms :: 2022-11-26 15:21:49.212157
 31: 81.568 ms :: 2022-11-26 15:21:49.293725
 32: 77.722 ms :: 2022-11-26 15:21:49.371448
 33: 51.974 ms :: 2022-11-26 15:21:49.423422
 34: 82.564 ms :: 2022-11-26 15:21:49.505985
 35: 76.257 ms :: 2022-11-26 15:21:49.582242
 36: 71.986 ms :: 2022-11-26 15:21:49.654228
 37: 67.084 ms :: 2022-11-26 15:21:49.721312
 38: 58.297 ms :: 2022-11-26 15:21:49.779609
 39: 73.231 ms :: 2022-11-26 15:21:49.852840
 40: 72.949 ms :: 2022-11-26 15:21:49.925790
 41: 73.299 ms :: 2022-11-26 15:21:49.999089
 42: 88.260 ms :: 2022-11-26 15:21:50.087348
 43: 60.471 ms :: 2022-11-26 15:21:50.147819
 44: 62.273 ms :: 2022-11-26 15:21:50.210093
 45: 67.624 ms :: 2022-11-26 15:21:50.415575
 46: 74.976 ms :: 2022-11-26 15:21:50.490550
 47: 67.078 ms :: 2022-11-26 15:21:50.557629
 48: 65.879 ms :: 2022-11-26 15:21:50.623507
 49: 80.348 ms :: 2022-11-26 15:21:50.703855
 50: 79.235 ms :: 2022-11-26 15:21:50.783091
 51: 76.663 ms :: 2022-11-26 15:21:51.066209
 52: 78.985 ms :: 2022-11-26 15:21:51.145194
 53: 80.669 ms :: 2022-11-26 15:21:51.225862
 54: 86.182 ms :: 2022-11-26 15:21:51.423907
 55: 73.180 ms :: 2022-11-26 15:21:51.497087
 56: 78.438 ms :: 2022-11-26 15:21:51.575525
 57: 69.324 ms :: 2022-11-26 15:21:52.761240
 58: 84.230 ms :: 2022-11-26 15:21:53.936238
 59: 58.837 ms :: 2022-11-26 15:21:53.995074
 60: 85.637 ms :: 2022-11-26 15:21:54.080712
 61: 72.622 ms :: 2022-11-26 15:21:54.153333
 62: 54.217 ms :: 2022-11-26 15:21:54.207551
 63: 61.490 ms :: 2022-11-26 15:21:55.366492
 64: 67.147 ms :: 2022-11-26 15:21:57.676940
 65: 76.218 ms :: 2022-11-26 15:21:57.753159
 66: 69.218 ms :: 2022-11-26 15:21:57.822376
 67: 71.808 ms :: 2022-11-26 15:21:57.894185
 68: 76.805 ms :: 2022-11-26 15:21:57.970989
 69: 81.369 ms :: 2022-11-26 15:21:58.052359
 70: 78.643 ms :: 2022-11-26 15:21:59.240761
 71: 70.420 ms :: 2022-11-26 15:21:59.311182
 72: 64.119 ms :: 2022-11-26 15:21:59.375300
 73: 79.481 ms :: 2022-11-26 15:21:59.454782
 74: 75.422 ms :: 2022-11-26 15:21:59.530204
 75: 89.708 ms :: 2022-11-26 15:21:59.619911
 76: 69.421 ms :: 2022-11-26 15:21:59.689332
 77: 67.867 ms :: 2022-11-26 15:21:59.757200
 78: 67.306 ms :: 2022-11-26 15:21:59.824506
 79: 73.276 ms :: 2022-11-26 15:22:01.038444
 80: 66.859 ms :: 2022-11-26 15:22:01.105304
 81: 66.522 ms :: 2022-11-26 15:22:01.171825
 82: 69.561 ms :: 2022-11-26 15:22:01.241386
 83: 87.824 ms :: 2022-11-26 15:22:01.329210
 84: 59.124 ms :: 2022-11-26 15:22:01.388334
 85: 71.106 ms :: 2022-11-26 15:22:01.459440
 86: 70.212 ms :: 2022-11-26 15:22:01.529653
 87: 76.962 ms :: 2022-11-26 15:22:01.606615
 88: 75.507 ms :: 2022-11-26 15:22:01.682121
 89: 84.065 ms :: 2022-11-26 15:22:01.766186
 90: 62.622 ms :: 2022-11-26 15:22:01.828809
 91: 63.263 ms :: 2022-11-26 15:22:01.892071
 92: 79.325 ms :: 2022-11-26 15:22:01.971396
