Connection ID: 47:87:91:4f:04:15:85:d5
RTT: 47.081 ms
Last Delay Timestamp: 2022-11-25 15:29:15
Loss Rate (Q bit calculated): 9.832317073170726%

RTT Measurements:
  0: 39.914 ms :: 2022-11-25 15:26:57.805704
  1: 50.115 ms :: 2022-11-25 15:26:57.855818
  2: 39.648 ms :: 2022-11-25 15:26:59.004498
  3: 49.658 ms :: 2022-11-25 15:26:59.054157
  4: 56.408 ms :: 2022-11-25 15:26:59.110564
  5: 42.360 ms :: 2022-11-25 15:26:59.152925
  6: 67.990 ms :: 2022-11-25 15:26:59.220915
  7: 64.773 ms :: 2022-11-25 15:26:59.285687
  8: 51.990 ms :: 2022-11-25 15:26:59.337677
  9: 56.150 ms :: 2022-11-25 15:26:59.393827
 10: 75.091 ms :: 2022-11-25 15:26:59.468919
 11: 75.683 ms :: 2022-11-25 15:26:59.544601
 12: 54.800 ms :: 2022-11-25 15:26:59.737253
 13: 65.790 ms :: 2022-11-25 15:26:59.803044
 14: 65.137 ms :: 2022-11-25 15:26:59.868180
 15: 46.666 ms :: 2022-11-25 15:26:59.914846
 16: 52.292 ms :: 2022-11-25 15:26:59.967139
 17: 47.013 ms :: 2022-11-25 15:27:00.014152
 18: 45.572 ms :: 2022-11-25 15:27:00.059724
 19: 58.898 ms :: 2022-11-25 15:27:00.118622
 20: 58.273 ms :: 2022-11-25 15:27:01.276118
 21: 59.629 ms :: 2022-11-25 15:27:01.335747
 22: 65.490 ms :: 2022-11-25 15:27:01.401237
 23: 61.523 ms :: 2022-11-25 15:27:01.462759
 24: 62.019 ms :: 2022-11-25 15:27:01.524779
 25: 50.698 ms :: 2022-11-25 15:27:01.575476
 26: 49.273 ms :: 2022-11-25 15:27:01.624749
 27: 60.529 ms :: 2022-11-25 15:27:01.685278
 28: 49.761 ms :: 2022-11-25 15:27:01.735039
 29: 42.869 ms :: 2022-11-25 15:27:01.777909
 30: 51.661 ms :: 2022-11-25 15:27:01.829570
 31: 46.770 ms :: 2022-11-25 15:27:01.876339
 32: 64.971 ms :: 2022-11-25 15:27:01.941310
 33: 38.890 ms :: 2022-11-25 15:27:03.083801
 34: 54.360 ms :: 2022-11-25 15:27:03.138160
 35: 60.245 ms :: 2022-11-25 15:27:03.198405
 36: 71.496 ms :: 2022-11-25 15:27:03.269901
 37: 44.943 ms :: 2022-11-25 15:27:03.314845
 38: 36.488 ms :: 2022-11-25 15:27:03.351332
 39: 37.474 ms :: 2022-11-25 15:27:03.388807
 40: 66.493 ms :: 2022-11-25 15:27:03.455300
 41: 42.239 ms :: 2022-11-25 15:27:03.497539
 42: 45.415 ms :: 2022-11-25 15:27:04.667707
