Connection ID: 68:0c:d5:5c:04:cd:f1:c1
RTT: 49.162 ms
Last Delay Timestamp: 2022-11-25 15:29:15
Loss Rate (Q bit calculated): 0.040584415584410394%

RTT Measurements:
  0: 46.521 ms :: 2022-11-25 15:26:57.816725
  1: 57.461 ms :: 2022-11-25 15:26:57.874186
  2: 56.242 ms :: 2022-11-25 15:26:58.965681
  3: 47.110 ms :: 2022-11-25 15:26:59.012790
  4: 46.998 ms :: 2022-11-25 15:26:59.059788
  5: 52.345 ms :: 2022-11-25 15:26:59.112133
  6: 47.047 ms :: 2022-11-25 15:26:59.159181
  7: 77.759 ms :: 2022-11-25 15:26:59.236939
  8: 62.469 ms :: 2022-11-25 15:26:59.299408
  9: 46.718 ms :: 2022-11-25 15:26:59.346127
 10: 62.580 ms :: 2022-11-25 15:26:59.408706
 11: 62.515 ms :: 2022-11-25 15:26:59.471221
 12: 78.025 ms :: 2022-11-25 15:26:59.549247
 13: 62.614 ms :: 2022-11-25 15:26:59.752515
 14: 64.776 ms :: 2022-11-25 15:26:59.817291
 15: 63.848 ms :: 2022-11-25 15:26:59.881139
 16: 46.962 ms :: 2022-11-25 15:26:59.928101
 17: 47.125 ms :: 2022-11-25 15:26:59.975225
 18: 46.460 ms :: 2022-11-25 15:27:00.021686
 19: 46.901 ms :: 2022-11-25 15:27:00.068587
 20: 62.728 ms :: 2022-11-25 15:27:00.131314
 21: 62.660 ms :: 2022-11-25 15:27:01.224713
 22: 62.943 ms :: 2022-11-25 15:27:01.287656
 23: 62.064 ms :: 2022-11-25 15:27:01.349720
 24: 62.378 ms :: 2022-11-25 15:27:01.412097
 25: 62.537 ms :: 2022-11-25 15:27:01.474634
 26: 62.334 ms :: 2022-11-25 15:27:01.536968
 27: 47.072 ms :: 2022-11-25 15:27:01.584041
 28: 46.734 ms :: 2022-11-25 15:27:01.630774
 29: 62.500 ms :: 2022-11-25 15:27:01.693274
 30: 47.036 ms :: 2022-11-25 15:27:01.740310
 31: 46.885 ms :: 2022-11-25 15:27:01.787195
 32: 46.820 ms :: 2022-11-25 15:27:01.834016
 33: 46.651 ms :: 2022-11-25 15:27:01.880666
 34: 62.750 ms :: 2022-11-25 15:27:01.943417
 35: 62.876 ms :: 2022-11-25 15:27:03.052690
 36: 46.832 ms :: 2022-11-25 15:27:03.099523
 37: 46.735 ms :: 2022-11-25 15:27:03.146258
 38: 67.124 ms :: 2022-11-25 15:27:03.213382
 39: 62.606 ms :: 2022-11-25 15:27:03.275988
 40: 46.821 ms :: 2022-11-25 15:27:03.322808
 41: 31.144 ms :: 2022-11-25 15:27:03.353952
 42: 47.482 ms :: 2022-11-25 15:27:03.401434
 43: 61.959 ms :: 2022-11-25 15:27:03.463393
 44: 46.995 ms :: 2022-11-25 15:27:03.510389
 45: 62.450 ms :: 2022-11-25 15:27:04.625086
 46: 46.842 ms :: 2022-11-25 15:27:04.671927
 47: 62.268 ms :: 2022-11-25 15:27:04.734195
 48: 47.200 ms :: 2022-11-25 15:27:04.781395
 49: 46.764 ms :: 2022-11-25 15:27:04.828160
 50: 63.010 ms :: 2022-11-25 15:27:04.891170
 51: 46.185 ms :: 2022-11-25 15:27:04.937355
 52: 62.400 ms :: 2022-11-25 15:27:04.999754
 53: 46.815 ms :: 2022-11-25 15:27:05.046570
 54: 46.939 ms :: 2022-11-25 15:27:05.093508
 55: 62.654 ms :: 2022-11-25 15:27:05.156162
 56: 46.897 ms :: 2022-11-25 15:27:05.203059
 57: 46.632 ms :: 2022-11-25 15:27:05.249691
 58: 47.317 ms :: 2022-11-25 15:27:05.297008
 59: 62.343 ms :: 2022-11-25 15:27:05.359352
 60: 62.315 ms :: 2022-11-25 15:27:06.452770
 61: 46.940 ms :: 2022-11-25 15:27:06.499711
 62: 62.445 ms :: 2022-11-25 15:27:06.562155
 63: 46.674 ms :: 2022-11-25 15:27:06.608829
 64: 62.546 ms :: 2022-11-25 15:27:06.671375
 65: 62.440 ms :: 2022-11-25 15:27:06.733815
 66: 47.025 ms :: 2022-11-25 15:27:06.780841
 67: 46.785 ms :: 2022-11-25 15:27:06.827625
 68: 62.467 ms :: 2022-11-25 15:27:06.890093
 69: 62.617 ms :: 2022-11-25 15:27:06.952709
 70: 46.883 ms :: 2022-11-25 15:27:08.052035
 71: 62.308 ms :: 2022-11-25 15:27:08.114342
 72: 67.441 ms :: 2022-11-25 15:27:08.181783
 73: 42.695 ms :: 2022-11-25 15:27:08.224478
 74: 62.327 ms :: 2022-11-25 15:27:08.286806
 75: 62.439 ms :: 2022-11-25 15:27:08.349245
 76: 89.899 ms :: 2022-11-25 15:27:08.439143
 77: 93.607 ms :: 2022-11-25 15:27:09.550026
 78: 79.828 ms :: 2022-11-25 15:27:10.645334
