Connection ID: 15:d5:c4:be:1c:c7:bb:a2
RTT: 60.452 ms
Last Delay Timestamp: 2022-11-25 14:58:03
Loss Rate (Q bit calculated): 0.03156565656565746%

RTT Measurements:
  0: 64.619 ms :: 2022-11-25 14:53:34.013499
  1: 55.386 ms :: 2022-11-25 14:53:34.068885
  2: 53.935 ms :: 2022-11-25 14:53:34.122819
  3: 62.267 ms :: 2022-11-25 14:53:34.185086
  4: 80.199 ms :: 2022-11-25 14:53:34.265285
  5: 61.714 ms :: 2022-11-25 14:53:34.326999
  6: 47.010 ms :: 2022-11-25 14:53:35.400104
  7: 46.759 ms :: 2022-11-25 14:53:35.446862
  8: 46.762 ms :: 2022-11-25 14:53:36.517518
  9: 74.148 ms :: 2022-11-25 14:53:36.591666
 10: 78.146 ms :: 2022-11-25 14:53:36.669812
 11: 62.031 ms :: 2022-11-25 14:53:36.731843
 12: 46.983 ms :: 2022-11-25 14:53:36.778826
 13: 71.575 ms :: 2022-11-25 14:53:38.960067
 14: 52.474 ms :: 2022-11-25 14:53:39.012542
 15: 55.218 ms :: 2022-11-25 14:53:39.067759
 16: 50.247 ms :: 2022-11-25 14:53:39.118006
 17: 62.740 ms :: 2022-11-25 14:53:41.249919
 18: 62.708 ms :: 2022-11-25 14:53:41.312628
 19: 62.569 ms :: 2022-11-25 14:53:41.375196
 20: 62.067 ms :: 2022-11-25 14:53:41.437263
 21: 62.696 ms :: 2022-11-25 14:53:41.499959
 22: 62.841 ms :: 2022-11-25 14:53:41.562800
 23: 62.632 ms :: 2022-11-25 14:53:41.625432
 24: 61.990 ms :: 2022-11-25 14:53:42.717411
 25: 62.484 ms :: 2022-11-25 14:53:42.779896
 26: 47.549 ms :: 2022-11-25 14:53:42.827445
 27: 71.834 ms :: 2022-11-25 14:53:43.957549
 28: 63.537 ms :: 2022-11-25 14:53:44.021085
 29: 71.133 ms :: 2022-11-25 14:53:44.092219
 30: 46.503 ms :: 2022-11-25 14:53:44.138721
 31: 46.853 ms :: 2022-11-25 14:53:44.185575
 32: 46.612 ms :: 2022-11-25 14:53:45.276406
 33: 62.839 ms :: 2022-11-25 14:53:46.372416
 34: 63.060 ms :: 2022-11-25 14:53:46.435476
 35: 47.318 ms :: 2022-11-25 14:53:46.482794
 36: 46.085 ms :: 2022-11-25 14:53:46.528878
 37: 57.743 ms :: 2022-11-25 14:53:46.586621
 38: 46.971 ms :: 2022-11-25 14:53:47.738477
 39: 61.804 ms :: 2022-11-25 14:53:47.800282
 40: 63.327 ms :: 2022-11-25 14:53:47.863609
 41: 47.182 ms :: 2022-11-25 14:53:48.050546
 42: 46.914 ms :: 2022-11-25 14:53:48.097460
