Connection ID: ec:cb:3e:31:d7:7c:a3:e0
RTT: 56.425 ms
Last Delay Timestamp: 2022-11-25 14:58:03
Loss Rate (Q bit calculated): 20.072751322751326%

RTT Measurements:
  0: 51.102 ms :: 2022-11-25 14:53:33.997776
  1: 55.239 ms :: 2022-11-25 14:53:34.053015
  2: 64.122 ms :: 2022-11-25 14:53:34.117137
  3: 53.513 ms :: 2022-11-25 14:53:34.170650
  4: 84.952 ms :: 2022-11-25 14:53:34.255603
  5: 67.010 ms :: 2022-11-25 14:53:34.322613
  6: 44.942 ms :: 2022-11-25 14:53:35.438147
  7: 70.324 ms :: 2022-11-25 14:53:36.580174
  8: 73.497 ms :: 2022-11-25 14:53:36.653671
  9: 71.033 ms :: 2022-11-25 14:53:36.724704
 10: 50.195 ms :: 2022-11-25 14:53:36.774899
 11: 57.379 ms :: 2022-11-25 14:53:39.005243
 12: 53.537 ms :: 2022-11-25 14:53:39.058779
 13: 53.965 ms :: 2022-11-25 14:53:39.112745
 14: 61.442 ms :: 2022-11-25 14:53:41.297733
 15: 65.072 ms :: 2022-11-25 14:53:41.362804
 16: 59.828 ms :: 2022-11-25 14:53:41.422632
 17: 71.988 ms :: 2022-11-25 14:53:41.494621
 18: 56.850 ms :: 2022-11-25 14:53:41.551470
 19: 58.501 ms :: 2022-11-25 14:53:41.609972
 20: 70.312 ms :: 2022-11-25 14:53:42.771898
 21: 47.020 ms :: 2022-11-25 14:53:42.818917
 22: 50.638 ms :: 2022-11-25 14:53:44.003736
 23: 84.426 ms :: 2022-11-25 14:53:44.088162
 24: 47.929 ms :: 2022-11-25 14:53:44.136091
 25: 48.412 ms :: 2022-11-25 14:53:44.184504
 26: 63.181 ms :: 2022-11-25 14:53:46.419488
 27: 55.934 ms :: 2022-11-25 14:53:46.475423
 28: 49.822 ms :: 2022-11-25 14:53:46.525244
 29: 50.516 ms :: 2022-11-25 14:53:46.575761
 30: 50.235 ms :: 2022-11-25 14:53:47.786755
 31: 62.213 ms :: 2022-11-25 14:53:47.848968
 32: 48.385 ms :: 2022-11-25 14:53:48.043802
 33: 47.875 ms :: 2022-11-25 14:53:48.091676
 34: 40.207 ms :: 2022-11-25 14:53:48.131884
 35: 50.113 ms :: 2022-11-25 14:53:48.181997
 36: 61.320 ms :: 2022-11-25 14:53:48.243316
 37: 39.337 ms :: 2022-11-25 14:53:48.282654
 38: 82.367 ms :: 2022-11-25 14:53:48.365020
 39: 61.786 ms :: 2022-11-25 14:53:48.426806
 40: 62.059 ms :: 2022-11-25 14:53:48.488866
 41: 64.091 ms :: 2022-11-25 14:53:48.552957
 42: 59.987 ms :: 2022-11-25 14:53:49.721144
 43: 63.148 ms :: 2022-11-25 14:53:49.784292
 44: 76.514 ms :: 2022-11-25 14:53:49.860806
 45: 61.987 ms :: 2022-11-25 14:53:51.216129
 46: 51.953 ms :: 2022-11-25 14:53:51.268081
 47: 63.706 ms :: 2022-11-25 14:53:51.331788
 48: 36.278 ms :: 2022-11-25 14:53:52.692909
 49: 44.586 ms :: 2022-11-25 14:53:52.737494
 50: 66.937 ms :: 2022-11-25 14:53:52.804431
 51: 70.779 ms :: 2022-11-25 14:53:52.875211
 52: 55.800 ms :: 2022-11-25 14:53:52.931010
 53: 45.386 ms :: 2022-11-25 14:53:52.976397
 54: 57.333 ms :: 2022-11-25 14:53:53.033730
 55: 60.202 ms :: 2022-11-25 14:53:53.093931
 56: 62.765 ms :: 2022-11-25 14:53:54.276427
 57: 60.629 ms :: 2022-11-25 14:53:54.337057
 58: 80.869 ms :: 2022-11-25 14:53:54.417926
 59: 57.249 ms :: 2022-11-25 14:53:54.475174
 60: 44.961 ms :: 2022-11-25 14:53:54.520136
 61: 57.088 ms :: 2022-11-25 14:53:54.577224
 62: 55.639 ms :: 2022-11-25 14:53:54.632863
 63: 52.836 ms :: 2022-11-25 14:53:54.685698
 64: 67.347 ms :: 2022-11-25 14:53:54.753046
 65: 60.465 ms :: 2022-11-25 14:53:54.813510
 66: 70.554 ms :: 2022-11-25 14:53:54.884064
 67: 70.751 ms :: 2022-11-25 14:53:54.954816
 68: 51.855 ms :: 2022-11-25 14:53:55.006670
 69: 49.544 ms :: 2022-11-25 14:53:55.056215
 70: 58.402 ms :: 2022-11-25 14:53:55.114617
 71: 36.244 ms :: 2022-11-25 14:53:55.150861
 72: 52.691 ms :: 2022-11-25 14:53:55.203552
 73: 56.700 ms :: 2022-11-25 14:53:55.260251
 74: 48.815 ms :: 2022-11-25 14:53:56.452616
 75: 71.962 ms :: 2022-11-25 14:53:57.639276
 76: 36.106 ms :: 2022-11-25 14:53:57.675381
 77: 49.308 ms :: 2022-11-25 14:53:59.900590
 78: 60.865 ms :: 2022-11-25 14:53:59.961456
 79: 72.085 ms :: 2022-11-25 14:54:00.033540
 80: 53.848 ms :: 2022-11-25 14:54:02.289071
 81: 55.462 ms :: 2022-11-25 14:54:02.344532
 82: 71.181 ms :: 2022-11-25 14:54:05.174068
 83: 39.998 ms :: 2022-11-25 14:54:08.417728
 84: 69.004 ms :: 2022-11-25 14:54:10.622790
 85: 60.628 ms :: 2022-11-25 14:54:10.683418
 86: 40.381 ms :: 2022-11-25 14:54:13.076147
 87: 51.971 ms :: 2022-11-25 14:54:14.255908
 88: 57.148 ms :: 2022-11-25 14:54:14.313055
 89: 78.967 ms :: 2022-11-25 14:54:18.861885
 90: 51.297 ms :: 2022-11-25 14:54:18.913182
 91: 47.061 ms :: 2022-11-25 14:54:21.160614
 92: 49.133 ms :: 2022-11-25 14:54:21.209748
 93: 46.030 ms :: 2022-11-25 14:54:21.255778
 94: 49.012 ms :: 2022-11-25 14:54:21.304790
 95: 55.949 ms :: 2022-11-25 14:54:21.360738
 96: 52.061 ms :: 2022-11-25 14:54:22.534269
 97: 44.113 ms :: 2022-11-25 14:54:22.578382
 98: 71.575 ms :: 2022-11-25 14:54:22.649956
 99: 45.377 ms :: 2022-11-25 14:54:22.695333
100: 52.211 ms :: 2022-11-25 14:54:22.747545
101: 60.611 ms :: 2022-11-25 14:54:22.808156
102: 74.016 ms :: 2022-11-25 14:54:22.882172
103: 48.423 ms :: 2022-11-25 14:54:22.930594
104: 40.597 ms :: 2022-11-25 14:54:22.971191
105: 58.432 ms :: 2022-11-25 14:54:24.133322
106: 42.576 ms :: 2022-11-25 14:54:24.335522
107: 50.662 ms :: 2022-11-25 14:54:25.485322
108: 61.088 ms :: 2022-11-25 14:54:26.632762
109: 49.076 ms :: 2022-11-25 14:54:26.681838
110: 45.544 ms :: 2022-11-25 14:54:26.727382
111: 48.501 ms :: 2022-11-25 14:54:26.775883
112: 48.949 ms :: 2022-11-25 14:54:26.824832
113: 53.485 ms :: 2022-11-25 14:54:28.035702
114: 43.157 ms :: 2022-11-25 14:54:28.078860
115: 64.108 ms :: 2022-11-25 14:54:28.142967
116: 50.752 ms :: 2022-11-25 14:54:28.193720
117: 64.310 ms :: 2022-11-25 14:54:28.258029
118: 43.773 ms :: 2022-11-25 14:54:29.403968
119: 62.915 ms :: 2022-11-25 14:54:29.466882
120: 44.987 ms :: 2022-11-25 14:54:29.511869
121: 63.694 ms :: 2022-11-25 14:54:31.795036
122: 71.708 ms :: 2022-11-25 14:54:31.866744
123: 77.250 ms :: 2022-11-25 14:54:31.943994
124: 66.284 ms :: 2022-11-25 14:54:32.010277
125: 51.573 ms :: 2022-11-25 14:54:32.061851
126: 51.869 ms :: 2022-11-25 14:54:32.113719
127: 56.061 ms :: 2022-11-25 14:54:32.169780
128: 72.556 ms :: 2022-11-25 14:54:32.242336
129: 69.859 ms :: 2022-11-25 14:54:32.312196
130: 63.117 ms :: 2022-11-25 14:54:32.375313
131: 74.326 ms :: 2022-11-25 14:54:32.449639
132: 54.891 ms :: 2022-11-25 14:54:32.504529
133: 54.744 ms :: 2022-11-25 14:54:32.559273
134: 56.585 ms :: 2022-11-25 14:54:32.615859
135: 69.423 ms :: 2022-11-25 14:54:32.685281
136: 52.113 ms :: 2022-11-25 14:54:33.813894
137: 63.779 ms :: 2022-11-25 14:54:33.877674
138: 63.739 ms :: 2022-11-25 14:54:33.941412
139: 52.509 ms :: 2022-11-25 14:54:33.993921
140: 49.973 ms :: 2022-11-25 14:54:34.043895
141: 52.109 ms :: 2022-11-25 14:54:34.096004
142: 64.057 ms :: 2022-11-25 14:54:35.245044
143: 54.485 ms :: 2022-11-25 14:54:35.299530
144: 53.567 ms :: 2022-11-25 14:54:35.353096
145: 79.558 ms :: 2022-11-25 14:54:35.432655
146: 88.085 ms :: 2022-11-25 14:54:35.520740
147: 48.667 ms :: 2022-11-25 14:54:35.569406
148: 46.896 ms :: 2022-11-25 14:54:35.616302
149: 80.371 ms :: 2022-11-25 14:54:35.696674
150: 63.922 ms :: 2022-11-25 14:54:35.760596
151: 45.227 ms :: 2022-11-25 14:54:36.899447
152: 40.025 ms :: 2022-11-25 14:54:36.939472
153: 53.203 ms :: 2022-11-25 14:54:36.992676
154: 59.016 ms :: 2022-11-25 14:54:37.051692
155: 45.498 ms :: 2022-11-25 14:54:37.097189
156: 60.689 ms :: 2022-11-25 14:54:37.157879
157: 66.521 ms :: 2022-11-25 14:54:37.224400
158: 59.794 ms :: 2022-11-25 14:54:37.284193
159: 61.574 ms :: 2022-11-25 14:54:37.345767
160: 46.388 ms :: 2022-11-25 14:54:37.392155
161: 64.140 ms :: 2022-11-25 14:54:37.456295
162: 65.970 ms :: 2022-11-25 14:54:38.754317
163: 61.788 ms :: 2022-11-25 14:54:38.816106
164: 70.779 ms :: 2022-11-25 14:54:38.886884
165: 41.629 ms :: 2022-11-25 14:54:42.273896
166: 57.616 ms :: 2022-11-25 14:54:42.331512
167: 76.230 ms :: 2022-11-25 14:54:42.407742
168: 71.236 ms :: 2022-11-25 14:54:42.478979
169: 54.607 ms :: 2022-11-25 14:54:42.533586
170: 60.544 ms :: 2022-11-25 14:54:42.594130
171: 75.754 ms :: 2022-11-25 14:54:42.669883
172: 66.554 ms :: 2022-11-25 14:54:42.736438
173: 75.402 ms :: 2022-11-25 14:54:42.811840
174: 63.328 ms :: 2022-11-25 14:54:42.875168
175: 60.713 ms :: 2022-11-25 14:54:42.935880
176: 49.060 ms :: 2022-11-25 14:54:42.984941
177: 69.438 ms :: 2022-11-25 14:54:43.054378
178: 58.359 ms :: 2022-11-25 14:54:43.112737
179: 49.815 ms :: 2022-11-25 14:54:43.162553
180: 60.616 ms :: 2022-11-25 14:54:43.223169
181: 50.489 ms :: 2022-11-25 14:54:43.273658
