Connection ID: aa:5c:60:f0:47:cb:fb:6b
RTT: 76.447 ms
Last Delay Timestamp: 2022-11-25 15:54:13
Loss Rate (Q bit calculated): 19.925820707070706%

RTT Measurements:
  0: 81.395 ms :: 2022-11-25 15:48:16.792013
  1: 89.089 ms :: 2022-11-25 15:48:20.913717
  2: 80.399 ms :: 2022-11-25 15:48:22.138796
  3: 65.384 ms :: 2022-11-25 15:48:22.204180
  4: 94.033 ms :: 2022-11-25 15:48:22.298213
  5: 88.613 ms :: 2022-11-25 15:48:23.760714
  6: 76.710 ms :: 2022-11-25 15:48:24.969885
  7: 91.957 ms :: 2022-11-25 15:48:25.061841
  8: 84.914 ms :: 2022-11-25 15:48:26.268721
  9: 73.176 ms :: 2022-11-25 15:48:26.341897
 10: 73.434 ms :: 2022-11-25 15:48:27.513602
 11: 79.218 ms :: 2022-11-25 15:48:27.592820
 12: 79.189 ms :: 2022-11-25 15:48:27.672009
 13: 71.155 ms :: 2022-11-25 15:48:27.743165
 14: 75.052 ms :: 2022-11-25 15:48:27.818217
 15: 78.395 ms :: 2022-11-25 15:48:28.101248
 16: 80.417 ms :: 2022-11-25 15:48:28.181665
 17: 69.465 ms :: 2022-11-25 15:48:28.251131
 18: 55.959 ms :: 2022-11-25 15:48:28.307090
 19: 69.931 ms :: 2022-11-25 15:48:29.541330
 20: 71.252 ms :: 2022-11-25 15:48:29.612581
 21: 65.841 ms :: 2022-11-25 15:48:31.822495
 22: 75.882 ms :: 2022-11-25 15:48:31.898377
 23: 54.867 ms :: 2022-11-25 15:48:31.953244
 24: 66.842 ms :: 2022-11-25 15:48:32.020087
 25: 56.222 ms :: 2022-11-25 15:48:32.076308
 26: 75.052 ms :: 2022-11-25 15:48:32.151360
 27: 70.169 ms :: 2022-11-25 15:48:32.221529
 28: 76.537 ms :: 2022-11-25 15:48:32.298067
 29: 76.783 ms :: 2022-11-25 15:48:33.468935
 30: 68.042 ms :: 2022-11-25 15:48:34.629014
 31: 75.335 ms :: 2022-11-25 15:48:34.704349
 32: 52.555 ms :: 2022-11-25 15:48:34.756903
 33: 78.845 ms :: 2022-11-25 15:48:37.060784
 34: 57.637 ms :: 2022-11-25 15:48:37.118421
 35: 67.192 ms :: 2022-11-25 15:48:38.340764
 36: 80.346 ms :: 2022-11-25 15:48:38.421109
 37: 96.377 ms :: 2022-11-25 15:48:40.649367
 38: 65.512 ms :: 2022-11-25 15:48:40.714879
 39: 79.792 ms :: 2022-11-25 15:48:41.897985
 40: 53.607 ms :: 2022-11-25 15:48:43.072211
 41: 73.723 ms :: 2022-11-25 15:48:43.145935
 42: 72.566 ms :: 2022-11-25 15:48:44.333786
 43: 83.790 ms :: 2022-11-25 15:48:44.417576
 44: 58.934 ms :: 2022-11-25 15:48:45.602746
 45: 71.509 ms :: 2022-11-25 15:48:45.674256
 46: 78.093 ms :: 2022-11-25 15:48:47.939431
 47: 91.107 ms :: 2022-11-25 15:48:48.030539
 48: 62.699 ms :: 2022-11-25 15:48:48.093238
 49: 79.771 ms :: 2022-11-25 15:48:49.322145
 50: 59.820 ms :: 2022-11-25 15:48:49.381966
 51: 60.694 ms :: 2022-11-25 15:48:49.442660
 52: 75.457 ms :: 2022-11-25 15:48:50.665941
 53: 74.472 ms :: 2022-11-25 15:48:50.740413
 54: 58.994 ms :: 2022-11-25 15:48:50.799407
 55: 73.669 ms :: 2022-11-25 15:48:50.873076
 56: 64.808 ms :: 2022-11-25 15:48:50.937885
 57: 82.669 ms :: 2022-11-25 15:48:51.020554
 58: 77.131 ms :: 2022-11-25 15:48:51.097685
 59: 68.961 ms :: 2022-11-25 15:48:51.166646
 60: 60.428 ms :: 2022-11-25 15:48:51.227073
 61: 73.655 ms :: 2022-11-25 15:48:51.300729
 62: 72.201 ms :: 2022-11-25 15:48:51.372930
 63: 95.572 ms :: 2022-11-25 15:48:51.468502
 64: 80.834 ms :: 2022-11-25 15:48:53.772874
 65: 65.309 ms :: 2022-11-25 15:48:53.838182
 66: 74.743 ms :: 2022-11-25 15:48:53.912925
 67: 87.913 ms :: 2022-11-25 15:48:56.241022
 68: 56.557 ms :: 2022-11-25 15:48:56.297579
 69: 60.518 ms :: 2022-11-25 15:48:56.358097
 70: 75.842 ms :: 2022-11-25 15:48:56.433938
 71: 70.727 ms :: 2022-11-25 15:48:56.608345
 72: 98.697 ms :: 2022-11-25 15:48:56.707042
 73: 69.901 ms :: 2022-11-25 15:48:56.776943
 74: 68.415 ms :: 2022-11-25 15:48:56.845359
 75: 83.354 ms :: 2022-11-25 15:48:58.027266
 76: 90.003 ms :: 2022-11-25 15:49:00.340955
 77: 90.626 ms :: 2022-11-25 15:49:00.431581
 78: 72.213 ms :: 2022-11-25 15:49:01.897449
 79: 65.382 ms :: 2022-11-25 15:49:01.962831
 80: 75.457 ms :: 2022-11-25 15:49:02.038289
 81: 64.636 ms :: 2022-11-25 15:49:02.102925
 82: 77.803 ms :: 2022-11-25 15:49:02.180727
 83: 67.596 ms :: 2022-11-25 15:49:03.342849
 84: 36.898 ms :: 2022-11-25 15:49:04.497570
 85: 84.096 ms :: 2022-11-25 15:49:04.581665
 86: 78.023 ms :: 2022-11-25 15:49:04.659688
 87: 55.734 ms :: 2022-11-25 15:49:04.715423
 88: 73.806 ms :: 2022-11-25 15:49:04.789228
 89: 68.560 ms :: 2022-11-25 15:49:04.857789
 90: 92.983 ms :: 2022-11-25 15:49:04.950772
 91: 80.416 ms :: 2022-11-25 15:49:05.031188
 92: 79.298 ms :: 2022-11-25 15:49:05.110486
 93: 45.082 ms :: 2022-11-25 15:49:05.155567
 94: 72.941 ms :: 2022-11-25 15:49:05.228508
 95: 62.468 ms :: 2022-11-25 15:49:08.663515
 96: 68.534 ms :: 2022-11-25 15:49:08.732048
 97: 92.027 ms :: 2022-11-25 15:49:08.824075
 98: 70.855 ms :: 2022-11-25 15:49:08.894931
 99: 65.923 ms :: 2022-11-25 15:49:08.960854
100: 70.095 ms :: 2022-11-25 15:49:09.030949
101: 65.968 ms :: 2022-11-25 15:49:09.096916
102: 58.912 ms :: 2022-11-25 15:49:09.155828
103: 78.869 ms :: 2022-11-25 15:49:09.337781
104: 78.846 ms :: 2022-11-25 15:49:09.416627
105: 77.206 ms :: 2022-11-25 15:49:11.182300
106: 53.284 ms :: 2022-11-25 15:49:11.235584
107: 77.131 ms :: 2022-11-25 15:49:12.457457
