Connection ID: db:fe:a2:a6:e0:0b:9f:a2
RTT: 75.207 ms
Last Delay Timestamp: 2022-11-25 15:54:13
Loss Rate (Q bit calculated): 0.028409090909087276%

RTT Measurements:
  0: 85.865 ms :: 2022-11-25 15:48:16.810365
  1: 78.117 ms :: 2022-11-25 15:48:17.997651
  2: 96.207 ms :: 2022-11-25 15:48:20.832967
  3: 97.724 ms :: 2022-11-25 15:48:20.930691
  4: 86.768 ms :: 2022-11-25 15:48:22.074467
  5: 77.987 ms :: 2022-11-25 15:48:22.152455
  6: 62.407 ms :: 2022-11-25 15:48:22.214862
  7: 77.965 ms :: 2022-11-25 15:48:23.683790
  8: 77.885 ms :: 2022-11-25 15:48:23.761676
  9: 78.069 ms :: 2022-11-25 15:48:24.901926
 10: 78.289 ms :: 2022-11-25 15:48:24.980216
 11: 93.494 ms :: 2022-11-25 15:48:25.073709
 12: 93.739 ms :: 2022-11-25 15:48:26.198574
 13: 78.000 ms :: 2022-11-25 15:48:26.276573
 14: 78.143 ms :: 2022-11-25 15:48:26.354717
 15: 62.767 ms :: 2022-11-25 15:48:27.448874
 16: 77.976 ms :: 2022-11-25 15:48:27.526850
 17: 77.985 ms :: 2022-11-25 15:48:27.604835
 18: 78.114 ms :: 2022-11-25 15:48:27.682950
 19: 67.010 ms :: 2022-11-25 15:48:27.749959
 20: 78.247 ms :: 2022-11-25 15:48:27.828207
 21: 93.589 ms :: 2022-11-25 15:48:28.030998
 22: 78.341 ms :: 2022-11-25 15:48:28.109339
 23: 82.851 ms :: 2022-11-25 15:48:28.192190
 24: 62.324 ms :: 2022-11-25 15:48:28.254514
 25: 62.484 ms :: 2022-11-25 15:48:28.316998
 26: 93.790 ms :: 2022-11-25 15:48:29.482631
 27: 62.512 ms :: 2022-11-25 15:48:29.545144
 28: 78.108 ms :: 2022-11-25 15:48:29.623251
 29: 62.395 ms :: 2022-11-25 15:48:31.759171
 30: 78.016 ms :: 2022-11-25 15:48:31.837188
 31: 62.699 ms :: 2022-11-25 15:48:31.899887
 32: 62.331 ms :: 2022-11-25 15:48:31.962218
 33: 62.395 ms :: 2022-11-25 15:48:32.024612
 34: 62.463 ms :: 2022-11-25 15:48:32.087075
 35: 78.151 ms :: 2022-11-25 15:48:32.165226
 36: 62.276 ms :: 2022-11-25 15:48:32.227503
 37: 78.348 ms :: 2022-11-25 15:48:32.305850
 38: 78.041 ms :: 2022-11-25 15:48:33.403901
