Connection ID: 12:ac:8f:27:08:ba:1c:d0
RTT: 76.019 ms
Last Delay Timestamp: 2022-11-25 16:13:50
Loss Rate (Q bit calculated): 20.570388349514566%

RTT Measurements:
  0: 53.718 ms :: 2022-11-25 16:10:23.477590
  1: 57.954 ms :: 2022-11-25 16:10:23.535543
  2: 76.298 ms :: 2022-11-25 16:10:23.611841
  3: 54.227 ms :: 2022-11-25 16:10:25.793975
  4: 81.229 ms :: 2022-11-25 16:10:25.875204
  5: 62.964 ms :: 2022-11-25 16:10:25.938168
  6: 59.618 ms :: 2022-11-25 16:10:25.997786
  7: 77.111 ms :: 2022-11-25 16:10:26.074897
  8: 77.714 ms :: 2022-11-25 16:10:26.152611
  9: 63.642 ms :: 2022-11-25 16:10:27.320317
 10: 63.997 ms :: 2022-11-25 16:10:27.384315
 11: 82.085 ms :: 2022-11-25 16:10:27.466399
 12: 80.519 ms :: 2022-11-25 16:10:27.546919
 13: 84.343 ms :: 2022-11-25 16:10:27.631262
 14: 64.707 ms :: 2022-11-25 16:10:27.695969
 15: 96.040 ms :: 2022-11-25 16:10:27.792009
 16: 60.644 ms :: 2022-11-25 16:10:34.767307
 17: 58.701 ms :: 2022-11-25 16:10:34.826008
 18: 70.479 ms :: 2022-11-25 16:10:34.896486
 19: 62.486 ms :: 2022-11-25 16:10:36.092014
 20: 69.780 ms :: 2022-11-25 16:10:37.266905
 21: 69.449 ms :: 2022-11-25 16:10:40.571832
 22: 63.038 ms :: 2022-11-25 16:10:40.634871
 23: 75.820 ms :: 2022-11-25 16:10:40.710690
 24: 64.655 ms :: 2022-11-25 16:10:40.775346
 25: 79.442 ms :: 2022-11-25 16:10:40.854788
 26: 91.799 ms :: 2022-11-25 16:10:40.946587
 27: 92.512 ms :: 2022-11-25 16:10:42.383686
 28: 50.311 ms :: 2022-11-25 16:10:44.595143
 29: 74.201 ms :: 2022-11-25 16:10:44.669343
 30: 77.498 ms :: 2022-11-25 16:10:45.989392
 31: 46.372 ms :: 2022-11-25 16:10:48.355818
 32: 95.093 ms :: 2022-11-25 16:10:48.450911
 33: 54.946 ms :: 2022-11-25 16:10:48.505857
 34: 69.098 ms :: 2022-11-25 16:10:48.574955
 35: 64.900 ms :: 2022-11-25 16:10:48.639856
 36: 47.275 ms :: 2022-11-25 16:10:48.687130
 37: 60.911 ms :: 2022-11-25 16:10:49.888588
 38: 41.632 ms :: 2022-11-25 16:10:49.930221
 39: 83.963 ms :: 2022-11-25 16:10:50.014183
 40: 51.645 ms :: 2022-11-25 16:10:50.065829
 41: 88.845 ms :: 2022-11-25 16:10:50.154674
 42: 81.647 ms :: 2022-11-25 16:10:50.236320
 43: 71.506 ms :: 2022-11-25 16:10:51.404772
 44: 85.345 ms :: 2022-11-25 16:10:51.490117
 45: 75.955 ms :: 2022-11-25 16:10:51.566071
 46: 67.722 ms :: 2022-11-25 16:10:51.633794
 47: 80.796 ms :: 2022-11-25 16:10:51.714590
 48: 65.659 ms :: 2022-11-25 16:10:52.842850
 49: 69.010 ms :: 2022-11-25 16:10:54.010677
 50: 63.271 ms :: 2022-11-25 16:10:54.073947
 51: 67.867 ms :: 2022-11-25 16:10:54.141814
 52: 53.387 ms :: 2022-11-25 16:10:54.195202
 53: 56.116 ms :: 2022-11-25 16:10:54.251317
