Connection ID: fc:f7:7c:ff:60:26:23:24
RTT: 73.424 ms
Last Delay Timestamp: 2022-11-25 16:13:50
Loss Rate (Q bit calculated): 0.05040322580645018%

RTT Measurements:
  0: 46.858 ms :: 2022-11-25 16:10:23.486090
  1: 62.270 ms :: 2022-11-25 16:10:23.548361
  2: 78.076 ms :: 2022-11-25 16:10:23.626436
  3: 46.696 ms :: 2022-11-25 16:10:25.743169
  4: 62.708 ms :: 2022-11-25 16:10:25.805876
  5: 78.271 ms :: 2022-11-25 16:10:25.884147
  6: 66.696 ms :: 2022-11-25 16:10:25.950844
  7: 62.073 ms :: 2022-11-25 16:10:26.012917
  8: 67.346 ms :: 2022-11-25 16:10:26.080262
  9: 78.036 ms :: 2022-11-25 16:10:26.158298
 10: 46.168 ms :: 2022-11-25 16:10:27.267982
 11: 54.023 ms :: 2022-11-25 16:10:27.322005
 12: 77.903 ms :: 2022-11-25 16:10:27.399908
 13: 78.663 ms :: 2022-11-25 16:10:27.478570
 14: 77.556 ms :: 2022-11-25 16:10:27.556127
 15: 78.184 ms :: 2022-11-25 16:10:27.634310
 16: 62.408 ms :: 2022-11-25 16:10:27.696718
 17: 96.492 ms :: 2022-11-25 16:10:27.793210
 18: 78.426 ms :: 2022-11-25 16:10:29.937627
 19: 93.479 ms :: 2022-11-25 16:10:33.590712
 20: 46.873 ms :: 2022-11-25 16:10:34.711106
 21: 62.729 ms :: 2022-11-25 16:10:34.773834
 22: 62.262 ms :: 2022-11-25 16:10:34.836097
 23: 62.451 ms :: 2022-11-25 16:10:34.898547
 24: 62.571 ms :: 2022-11-25 16:10:36.031265
 25: 67.210 ms :: 2022-11-25 16:10:36.098474
 26: 46.993 ms :: 2022-11-25 16:10:37.203870
 27: 77.875 ms :: 2022-11-25 16:10:37.281744
 28: 62.629 ms :: 2022-11-25 16:10:40.511464
 29: 62.101 ms :: 2022-11-25 16:10:40.573565
 30: 62.620 ms :: 2022-11-25 16:10:40.636184
 31: 77.958 ms :: 2022-11-25 16:10:40.714143
 32: 62.703 ms :: 2022-11-25 16:10:40.776845
 33: 93.858 ms :: 2022-11-25 16:10:40.870703
 34: 77.833 ms :: 2022-11-25 16:10:40.948537
 35: 77.800 ms :: 2022-11-25 16:10:42.384706
 36: 78.373 ms :: 2022-11-25 16:10:44.548980
 37: 62.445 ms :: 2022-11-25 16:10:44.611426
 38: 62.246 ms :: 2022-11-25 16:10:44.673671
 39: 46.806 ms :: 2022-11-25 16:10:45.751718
 40: 78.068 ms :: 2022-11-25 16:10:46.001502
 41: 62.384 ms :: 2022-11-25 16:10:47.110065
 42: 46.926 ms :: 2022-11-25 16:10:48.312933
 43: 46.808 ms :: 2022-11-25 16:10:48.359741
 44: 93.631 ms :: 2022-11-25 16:10:48.453372
 45: 62.475 ms :: 2022-11-25 16:10:48.515847
 46: 62.594 ms :: 2022-11-25 16:10:48.578442
 47: 62.357 ms :: 2022-11-25 16:10:48.640799
 48: 62.600 ms :: 2022-11-25 16:10:48.703398
 49: 62.318 ms :: 2022-11-25 16:10:49.843794
 50: 46.690 ms :: 2022-11-25 16:10:49.890484
 51: 47.035 ms :: 2022-11-25 16:10:49.937519
 52: 78.095 ms :: 2022-11-25 16:10:50.015614
 53: 62.588 ms :: 2022-11-25 16:10:50.078202
 54: 78.026 ms :: 2022-11-25 16:10:50.156228
 55: 93.851 ms :: 2022-11-25 16:10:50.250078
 56: 46.963 ms :: 2022-11-25 16:10:51.343715
 57: 62.267 ms :: 2022-11-25 16:10:51.405982
 58: 93.769 ms :: 2022-11-25 16:10:51.499752
 59: 78.250 ms :: 2022-11-25 16:10:51.578001
 60: 62.439 ms :: 2022-11-25 16:10:51.640440
 61: 78.149 ms :: 2022-11-25 16:10:51.718590
 62: 47.086 ms :: 2022-11-25 16:10:52.790416
 63: 62.278 ms :: 2022-11-25 16:10:52.852694
 64: 62.599 ms :: 2022-11-25 16:10:53.946283
 65: 77.848 ms :: 2022-11-25 16:10:54.024131
 66: 62.638 ms :: 2022-11-25 16:10:54.086769
 67: 62.430 ms :: 2022-11-25 16:10:54.149199
 68: 46.954 ms :: 2022-11-25 16:10:54.196152
 69: 62.486 ms :: 2022-11-25 16:10:54.258639
 70: 62.476 ms :: 2022-11-25 16:10:55.024080
 71: 62.652 ms :: 2022-11-25 16:10:56.122448
 72: 46.431 ms :: 2022-11-25 16:10:56.168879
 73: 78.203 ms :: 2022-11-25 16:10:56.247082
