Connection ID: 0c:d8:b6:3a:68:5d:0c:e8
RTT: 58.124 ms
Last Delay Timestamp: 2022-11-25 15:20:50
Loss Rate (Q bit calculated): 20.16969086021505%

RTT Measurements:
  0: 60.181 ms :: 2022-11-25 15:12:53.165313
  1: 46.748 ms :: 2022-11-25 15:12:54.291984
  2: 48.713 ms :: 2022-11-25 15:12:54.340697
  3: 70.025 ms :: 2022-11-25 15:12:55.529776
  4: 58.198 ms :: 2022-11-25 15:12:55.587974
  5: 48.712 ms :: 2022-11-25 15:12:55.636686
  6: 64.328 ms :: 2022-11-25 15:12:55.701014
  7: 43.701 ms :: 2022-11-25 15:12:55.744714
  8: 48.271 ms :: 2022-11-25 15:12:55.792985
  9: 50.210 ms :: 2022-11-25 15:12:55.843195
 10: 51.038 ms :: 2022-11-25 15:12:55.894233
 11: 59.556 ms :: 2022-11-25 15:12:55.953789
 12: 44.575 ms :: 2022-11-25 15:12:55.998364
 13: 38.338 ms :: 2022-11-25 15:12:58.213084
 14: 58.662 ms :: 2022-11-25 15:12:58.271747
 15: 82.770 ms :: 2022-11-25 15:12:59.477819
 16: 62.563 ms :: 2022-11-25 15:12:59.540383
 17: 58.296 ms :: 2022-11-25 15:12:59.598679
 18: 48.124 ms :: 2022-11-25 15:12:59.646802
 19: 53.606 ms :: 2022-11-25 15:12:59.700408
 20: 59.270 ms :: 2022-11-25 15:12:59.759679
 21: 46.931 ms :: 2022-11-25 15:13:00.933193
 22: 55.755 ms :: 2022-11-25 15:13:00.988949
 23: 80.240 ms :: 2022-11-25 15:13:01.069189
 24: 48.495 ms :: 2022-11-25 15:13:01.117683
 25: 77.025 ms :: 2022-11-25 15:13:02.270046
 26: 69.199 ms :: 2022-11-25 15:13:04.573045
 27: 76.904 ms :: 2022-11-25 15:13:04.649950
 28: 58.243 ms :: 2022-11-25 15:13:05.782399
 29: 70.893 ms :: 2022-11-25 15:13:05.853292
 30: 40.005 ms :: 2022-11-25 15:13:05.893297
 31: 55.608 ms :: 2022-11-25 15:13:07.037472
 32: 46.861 ms :: 2022-11-25 15:13:07.084332
