Connection ID: 61:e3:12:ab:94:cd:e2:1c
RTT: 58.443 ms
Last Delay Timestamp: 2022-11-25 15:20:50
Loss Rate (Q bit calculated): 0.017361111111113825%

RTT Measurements:
  0: 55.138 ms :: 2022-11-25 15:12:53.117192
  1: 56.298 ms :: 2022-11-25 15:12:53.173490
  2: 62.455 ms :: 2022-11-25 15:12:54.258126
  3: 46.927 ms :: 2022-11-25 15:12:54.305052
  4: 46.803 ms :: 2022-11-25 15:12:54.351855
  5: 77.504 ms :: 2022-11-25 15:12:55.465105
  6: 77.729 ms :: 2022-11-25 15:12:55.542834
  7: 47.045 ms :: 2022-11-25 15:12:55.589879
  8: 63.017 ms :: 2022-11-25 15:12:55.652895
  9: 62.352 ms :: 2022-11-25 15:12:55.715248
 10: 30.451 ms :: 2022-11-25 15:12:55.745698
 11: 62.596 ms :: 2022-11-25 15:12:55.808295
 12: 47.267 ms :: 2022-11-25 15:12:55.855561
 13: 46.968 ms :: 2022-11-25 15:12:55.902529
 14: 61.969 ms :: 2022-11-25 15:12:55.964498
 15: 46.907 ms :: 2022-11-25 15:12:56.011405
 16: 55.592 ms :: 2022-11-25 15:12:58.176839
 17: 46.470 ms :: 2022-11-25 15:12:58.223309
 18: 62.668 ms :: 2022-11-25 15:12:58.285976
 19: 73.115 ms :: 2022-11-25 15:12:59.409478
 20: 78.723 ms :: 2022-11-25 15:12:59.488202
 21: 61.943 ms :: 2022-11-25 15:12:59.550144
 22: 62.755 ms :: 2022-11-25 15:12:59.612900
 23: 47.169 ms :: 2022-11-25 15:12:59.660068
 24: 46.052 ms :: 2022-11-25 15:12:59.706120
 25: 62.672 ms :: 2022-11-25 15:12:59.768793
 26: 62.331 ms :: 2022-11-25 15:13:00.893441
 27: 47.456 ms :: 2022-11-25 15:13:00.940897
 28: 61.960 ms :: 2022-11-25 15:13:01.002857
 29: 79.671 ms :: 2022-11-25 15:13:01.082529
 30: 45.956 ms :: 2022-11-25 15:13:01.128484
 31: 46.306 ms :: 2022-11-25 15:13:02.206144
 32: 77.927 ms :: 2022-11-25 15:13:02.284070
 33: 78.762 ms :: 2022-11-25 15:13:04.516374
 34: 61.824 ms :: 2022-11-25 15:13:04.578197
