Connection ID: 7f:83:82:ca:82:04:b6:f0
RTT: 58.312 ms
Last Delay Timestamp: 2022-11-25 15:24:56
Loss Rate (Q bit calculated): 30.234375000000004%

RTT Measurements:
  0: 55.994 ms :: 2022-11-25 15:24:15.807550
  1: 92.818 ms :: 2022-11-25 15:24:18.058502
  2: 66.686 ms :: 2022-11-25 15:24:18.125189
  3: 65.734 ms :: 2022-11-25 15:24:18.190922
  4: 72.217 ms :: 2022-11-25 15:24:19.702723
  5: 48.804 ms :: 2022-11-25 15:24:19.751528
  6: 87.942 ms :: 2022-11-25 15:24:19.839469
  7: 47.067 ms :: 2022-11-25 15:24:22.026635
  8: 79.483 ms :: 2022-11-25 15:24:23.214267
  9: 42.311 ms :: 2022-11-25 15:24:23.256577
 10: 53.135 ms :: 2022-11-25 15:24:23.309712
 11: 49.072 ms :: 2022-11-25 15:24:23.358784
 12: 57.717 ms :: 2022-11-25 15:24:23.416501
 13: 43.300 ms :: 2022-11-25 15:24:23.459801
 14: 41.671 ms :: 2022-11-25 15:24:23.501472
 15: 39.371 ms :: 2022-11-25 15:24:24.696484
 16: 68.399 ms :: 2022-11-25 15:24:25.854823
 17: 65.509 ms :: 2022-11-25 15:24:25.920331
 18: 49.570 ms :: 2022-11-25 15:24:29.456387
 19: 55.485 ms :: 2022-11-25 15:24:29.511872
 20: 44.060 ms :: 2022-11-25 15:24:29.555932
 21: 59.840 ms :: 2022-11-25 15:24:30.676578
 22: 70.891 ms :: 2022-11-25 15:24:30.747468
 23: 60.186 ms :: 2022-11-25 15:24:30.807655
 24: 51.622 ms :: 2022-11-25 15:24:31.947747
 25: 58.333 ms :: 2022-11-25 15:24:34.136575
 26: 67.623 ms :: 2022-11-25 15:24:34.204199
 27: 71.142 ms :: 2022-11-25 15:24:34.275341
 28: 58.911 ms :: 2022-11-25 15:24:34.334252
 29: 51.942 ms :: 2022-11-25 15:24:41.526246
 30: 50.883 ms :: 2022-11-25 15:24:41.577128
 31: 50.442 ms :: 2022-11-25 15:24:41.627571
 32: 61.265 ms :: 2022-11-25 15:24:47.055691
 33: 56.539 ms :: 2022-11-25 15:24:47.112230
 34: 51.815 ms :: 2022-11-25 15:24:49.047555
 35: 54.434 ms :: 2022-11-25 15:24:51.305429
 36: 64.234 ms :: 2022-11-25 15:24:51.369663
 37: 63.330 ms :: 2022-11-25 15:24:51.432993
 38: 53.816 ms :: 2022-11-25 15:24:51.486809
 39: 49.040 ms :: 2022-11-25 15:24:51.535850
 40: 71.136 ms :: 2022-11-25 15:24:51.606986
 41: 39.774 ms :: 2022-11-25 15:24:51.646759
 42: 44.271 ms :: 2022-11-25 15:24:51.691030
 43: 61.990 ms :: 2022-11-25 15:24:51.753021
 44: 61.124 ms :: 2022-11-25 15:24:51.814145
 45: 53.120 ms :: 2022-11-25 15:24:51.867264
 46: 76.027 ms :: 2022-11-25 15:24:51.943291
