Connection ID: c3:4a:71:4b:83:20:d9:6b
RTT: 55.677 ms
Last Delay Timestamp: 2022-11-25 15:24:56
Loss Rate (Q bit calculated): 0.31250000000000444%

RTT Measurements:
  0: 62.408 ms :: 2022-11-25 15:24:15.763824
  1: 46.870 ms :: 2022-11-25 15:24:15.810694
  2: 62.328 ms :: 2022-11-25 15:24:17.971592
  3: 93.758 ms :: 2022-11-25 15:24:18.065351
  4: 62.477 ms :: 2022-11-25 15:24:18.127827
  5: 67.216 ms :: 2022-11-25 15:24:18.195044
  6: 77.901 ms :: 2022-11-25 15:24:19.641782
  7: 62.506 ms :: 2022-11-25 15:24:19.704288
  8: 62.390 ms :: 2022-11-25 15:24:19.766679
  9: 88.552 ms :: 2022-11-25 15:24:19.855231
 10: 62.285 ms :: 2022-11-25 15:24:21.995002
 11: 47.349 ms :: 2022-11-25 15:24:22.042351
 12: 62.970 ms :: 2022-11-25 15:24:23.151552
 13: 67.287 ms :: 2022-11-25 15:24:23.218839
 14: 46.947 ms :: 2022-11-25 15:24:23.265786
 15: 46.472 ms :: 2022-11-25 15:24:23.312258
 16: 62.794 ms :: 2022-11-25 15:24:23.375052
 17: 46.744 ms :: 2022-11-25 15:24:23.421797
 18: 46.736 ms :: 2022-11-25 15:24:23.468533
 19: 43.235 ms :: 2022-11-25 15:24:23.511768
 20: 47.156 ms :: 2022-11-25 15:24:24.661709
 21: 46.659 ms :: 2022-11-25 15:24:24.708368
 22: 62.401 ms :: 2022-11-25 15:24:25.801804
 23: 62.554 ms :: 2022-11-25 15:24:25.864357
 24: 62.442 ms :: 2022-11-25 15:24:25.926800
 25: 46.824 ms :: 2022-11-25 15:24:28.305972
 26: 46.750 ms :: 2022-11-25 15:24:29.408863
 27: 62.447 ms :: 2022-11-25 15:24:29.471309
 28: 47.356 ms :: 2022-11-25 15:24:29.518666
 29: 46.333 ms :: 2022-11-25 15:24:29.564999
 30: 47.187 ms :: 2022-11-25 15:24:30.627640
 31: 62.325 ms :: 2022-11-25 15:24:30.689965
 32: 62.471 ms :: 2022-11-25 15:24:30.752435
 33: 62.474 ms :: 2022-11-25 15:24:30.814909
 34: 62.420 ms :: 2022-11-25 15:24:31.908346
 35: 46.937 ms :: 2022-11-25 15:24:31.955284
 36: 52.359 ms :: 2022-11-25 15:24:34.079212
 37: 62.797 ms :: 2022-11-25 15:24:34.142009
 38: 78.063 ms :: 2022-11-25 15:24:34.220072
 39: 62.273 ms :: 2022-11-25 15:24:34.282346
 40: 62.524 ms :: 2022-11-25 15:24:34.344870
 41: 62.665 ms :: 2022-11-25 15:24:35.430313
 42: 46.789 ms :: 2022-11-25 15:24:37.651442
 43: 47.084 ms :: 2022-11-25 15:24:40.368138
 44: 46.696 ms :: 2022-11-25 15:24:41.476964
 45: 62.549 ms :: 2022-11-25 15:24:41.539514
 46: 46.976 ms :: 2022-11-25 15:24:41.586489
 47: 47.049 ms :: 2022-11-25 15:24:41.633538
 48: 62.300 ms :: 2022-11-25 15:24:44.506409
 49: 62.192 ms :: 2022-11-25 15:24:47.005846
 50: 62.620 ms :: 2022-11-25 15:24:47.068465
 51: 46.800 ms :: 2022-11-25 15:24:47.115266
 52: 62.312 ms :: 2022-11-25 15:24:48.999157
 53: 62.727 ms :: 2022-11-25 15:24:49.061885
 54: 45.510 ms :: 2022-11-25 15:24:51.253596
 55: 62.744 ms :: 2022-11-25 15:24:51.316339
 56: 62.047 ms :: 2022-11-25 15:24:51.378386
 57: 62.917 ms :: 2022-11-25 15:24:51.441303
 58: 46.496 ms :: 2022-11-25 15:24:51.487799
 59: 62.936 ms :: 2022-11-25 15:24:51.550735
 60: 62.253 ms :: 2022-11-25 15:24:51.612988
 61: 46.924 ms :: 2022-11-25 15:24:51.659913
 62: 46.847 ms :: 2022-11-25 15:24:51.706759
 63: 62.436 ms :: 2022-11-25 15:24:51.769196
 64: 46.666 ms :: 2022-11-25 15:24:51.815861
 65: 62.585 ms :: 2022-11-25 15:24:51.878447
 66: 78.155 ms :: 2022-11-25 15:24:51.956602
 67: 47.045 ms :: 2022-11-25 15:24:54.783504
 68: 44.206 ms :: 2022-11-25 15:24:56.045938
