Connection ID: c9:d9:c6:6f:e3:ac:55:3c
RTT: 64.498 ms
Last Delay Timestamp: 2022-11-26 17:40:40
Loss Rate (Q bit calculated): 0.31250000000000444%

RTT Measurements:
  0: 58.145 ms :: 2022-11-26 17:38:57.981025
  1: 76.828 ms :: 2022-11-26 17:38:58.057853
  2: 64.523 ms :: 2022-11-26 17:38:59.144408
  3: 80.379 ms :: 2022-11-26 17:39:16.116450
  4: 57.056 ms :: 2022-11-26 17:39:18.597224
  5: 72.643 ms :: 2022-11-26 17:39:18.669867
  6: 67.020 ms :: 2022-11-26 17:39:18.736887
  7: 60.737 ms :: 2022-11-26 17:39:18.797625
  8: 81.831 ms :: 2022-11-26 17:39:18.879456
  9: 126.555 ms :: 2022-11-26 17:39:19.006011
 10: 50.799 ms :: 2022-11-26 17:39:22.255424
 11: 81.340 ms :: 2022-11-26 17:39:27.420356
 12: 55.116 ms :: 2022-11-26 17:39:27.475472
 13: 65.022 ms :: 2022-11-26 17:39:27.540494
 14: 56.868 ms :: 2022-11-26 17:39:27.597362
 15: 58.583 ms :: 2022-11-26 17:39:30.213207
 16: 64.880 ms :: 2022-11-26 17:39:30.278086
 17: 57.671 ms :: 2022-11-26 17:39:30.335757
 18: 50.911 ms :: 2022-11-26 17:39:30.386668
 19: 50.825 ms :: 2022-11-26 17:39:34.350106
 20: 68.386 ms :: 2022-11-26 17:39:36.620614
 21: 48.263 ms :: 2022-11-26 17:39:36.668876
 22: 70.655 ms :: 2022-11-26 17:39:38.257395
 23: 50.706 ms :: 2022-11-26 17:39:39.626569
 24: 51.831 ms :: 2022-11-26 17:39:40.872251
 25: 96.303 ms :: 2022-11-26 17:39:56.128709
 26: 67.693 ms :: 2022-11-26 17:39:58.316935
 27: 73.031 ms :: 2022-11-26 17:39:58.389966
 28: 55.827 ms :: 2022-11-26 17:39:58.445792
 29: 55.199 ms :: 2022-11-26 17:39:59.503118
 30: 69.207 ms :: 2022-11-26 17:40:00.671986
 31: 64.116 ms :: 2022-11-26 17:40:00.736102
 32: 53.922 ms :: 2022-11-26 17:40:00.790024
 33: 63.085 ms :: 2022-11-26 17:40:00.853108
 34: 44.257 ms :: 2022-11-26 17:40:00.897366
 35: 64.456 ms :: 2022-11-26 17:40:00.961822
 36: 77.831 ms :: 2022-11-26 17:40:01.039653
 37: 57.131 ms :: 2022-11-26 17:40:03.632915
 38: 47.342 ms :: 2022-11-26 17:40:04.718200
 39: 65.255 ms :: 2022-11-26 17:40:05.848145
 40: 69.598 ms :: 2022-11-26 17:40:07.116400
 41: 64.576 ms :: 2022-11-26 17:40:08.359314
 42: 65.495 ms :: 2022-11-26 17:40:09.660029
 43: 90.575 ms :: 2022-11-26 17:40:11.044382
 44: 62.878 ms :: 2022-11-26 17:40:11.107259
 45: 91.111 ms :: 2022-11-26 17:40:12.373226
 46: 70.163 ms :: 2022-11-26 17:40:12.443389
 47: 91.048 ms :: 2022-11-26 17:40:14.016679
 48: 209.461 ms :: 2022-11-26 17:40:14.226140
 49: 86.122 ms :: 2022-11-26 17:40:14.312262
 50: 85.939 ms :: 2022-11-26 17:40:14.398200
 51: 92.838 ms :: 2022-11-26 17:40:14.491039
 52: 86.656 ms :: 2022-11-26 17:40:14.577694
 53: 52.658 ms :: 2022-11-26 17:40:14.630352
 54: 56.568 ms :: 2022-11-26 17:40:15.721707
 55: 67.598 ms :: 2022-11-26 17:40:16.882019
 56: 61.273 ms :: 2022-11-26 17:40:19.321002
 57: 66.771 ms :: 2022-11-26 17:40:20.447190
 58: 51.434 ms :: 2022-11-26 17:40:20.498624
 59: 51.246 ms :: 2022-11-26 17:40:20.549870
 60: 42.781 ms :: 2022-11-26 17:40:20.592650
 61: 71.377 ms :: 2022-11-26 17:40:20.664027
 62: 52.370 ms :: 2022-11-26 17:40:20.716398
 63: 47.284 ms :: 2022-11-26 17:40:20.763681
 64: 69.290 ms :: 2022-11-26 17:40:20.832972
 65: 86.303 ms :: 2022-11-26 17:40:22.188252
 66: 72.886 ms :: 2022-11-26 17:40:22.261138
 67: 49.239 ms :: 2022-11-26 17:40:23.696590
 68: 50.476 ms :: 2022-11-26 17:40:23.747066
 69: 50.781 ms :: 2022-11-26 17:40:24.848056
 70: 51.688 ms :: 2022-11-26 17:40:24.899744
 71: 45.288 ms :: 2022-11-26 17:40:24.945031
 72: 67.841 ms :: 2022-11-26 17:40:25.012872
 73: 71.292 ms :: 2022-11-26 17:40:25.084165
 74: 62.041 ms :: 2022-11-26 17:40:25.146205
 75: 81.513 ms :: 2022-11-26 17:40:25.227719
 76: 71.303 ms :: 2022-11-26 17:40:25.299021
 77: 57.338 ms :: 2022-11-26 17:40:25.356359
 78: 57.405 ms :: 2022-11-26 17:40:27.856307
 79: 65.432 ms :: 2022-11-26 17:40:29.464121
 80: 49.590 ms :: 2022-11-26 17:40:29.513710
 81: 56.346 ms :: 2022-11-26 17:40:29.570056
 82: 67.672 ms :: 2022-11-26 17:40:29.637728
 83: 65.548 ms :: 2022-11-26 17:40:29.703277
 84: 48.282 ms :: 2022-11-26 17:40:29.751559
 85: 44.465 ms :: 2022-11-26 17:40:29.796024
 86: 72.746 ms :: 2022-11-26 17:40:35.600949
 87: 66.420 ms :: 2022-11-26 17:40:39.103203
 88: 53.124 ms :: 2022-11-26 17:40:39.156327
 89: 73.409 ms :: 2022-11-26 17:40:39.229736
 90: 83.873 ms :: 2022-11-26 17:40:39.313608
