Connection ID: da:4f:67:fc:62:38:db:fd
RTT: 62.661 ms
Last Delay Timestamp: 2022-11-26 17:40:39
Loss Rate (Q bit calculated): 38.722826086956516%

RTT Measurements:
  0: 50.552 ms :: 2022-11-26 17:38:58.029675
  1: 76.192 ms :: 2022-11-26 17:39:18.667732
  2: 57.584 ms :: 2022-11-26 17:39:18.725316
  3: 54.794 ms :: 2022-11-26 17:39:18.780109
  4: 77.630 ms :: 2022-11-26 17:39:18.857739
  5: 132.690 ms :: 2022-11-26 17:39:18.990430
  6: 39.428 ms :: 2022-11-26 17:39:27.457882
  7: 63.452 ms :: 2022-11-26 17:39:27.521334
  8: 73.038 ms :: 2022-11-26 17:39:27.594372
  9: 64.681 ms :: 2022-11-26 17:39:30.258975
 10: 70.947 ms :: 2022-11-26 17:39:30.329921
 11: 46.152 ms :: 2022-11-26 17:39:30.376074
 12: 51.880 ms :: 2022-11-26 17:39:36.667331
 13: 105.390 ms :: 2022-11-26 17:39:56.225749
 14: 76.418 ms :: 2022-11-26 17:39:58.376022
 15: 53.903 ms :: 2022-11-26 17:39:58.429924
 16: 61.872 ms :: 2022-11-26 17:40:00.728907
 17: 47.197 ms :: 2022-11-26 17:40:00.776103
 18: 50.076 ms :: 2022-11-26 17:40:00.826179
 19: 69.415 ms :: 2022-11-26 17:40:00.895595
 20: 44.012 ms :: 2022-11-26 17:40:00.939606
 21: 76.885 ms :: 2022-11-26 17:40:01.016491
 22: 88.423 ms :: 2022-11-26 17:40:11.104567
 23: 73.635 ms :: 2022-11-26 17:40:12.426748
 24: 221.821 ms :: 2022-11-26 17:40:14.216681
 25: 73.133 ms :: 2022-11-26 17:40:14.289814
 26: 93.857 ms :: 2022-11-26 17:40:14.383671
 27: 89.470 ms :: 2022-11-26 17:40:14.473141
 28: 86.923 ms :: 2022-11-26 17:40:14.560065
 29: 68.742 ms :: 2022-11-26 17:40:14.628807
 30: 48.033 ms :: 2022-11-26 17:40:20.488464
 31: 50.425 ms :: 2022-11-26 17:40:20.538888
 32: 50.446 ms :: 2022-11-26 17:40:20.589334
 33: 58.889 ms :: 2022-11-26 17:40:20.648224
 34: 64.088 ms :: 2022-11-26 17:40:20.712311
 35: 45.419 ms :: 2022-11-26 17:40:20.757730
 36: 60.064 ms :: 2022-11-26 17:40:20.817795
 37: 70.628 ms :: 2022-11-26 17:40:22.239950
 38: 44.574 ms :: 2022-11-26 17:40:23.736165
 39: 54.292 ms :: 2022-11-26 17:40:24.896763
 40: 39.413 ms :: 2022-11-26 17:40:24.936176
 41: 61.757 ms :: 2022-11-26 17:40:24.997932
 42: 68.930 ms :: 2022-11-26 17:40:25.066863
 43: 56.492 ms :: 2022-11-26 17:40:25.123354
 44: 77.840 ms :: 2022-11-26 17:40:25.201195
 45: 78.325 ms :: 2022-11-26 17:40:25.279520
 46: 67.645 ms :: 2022-11-26 17:40:25.347165
 47: 70.882 ms :: 2022-11-26 17:40:25.418046
 48: 61.627 ms :: 2022-11-26 17:40:29.511900
 49: 41.302 ms :: 2022-11-26 17:40:29.553203
 50: 66.453 ms :: 2022-11-26 17:40:29.619656
 51: 76.477 ms :: 2022-11-26 17:40:29.696132
 52: 42.834 ms :: 2022-11-26 17:40:29.738966
 53: 55.873 ms :: 2022-11-26 17:40:29.794840
 54: 41.702 ms :: 2022-11-26 17:40:39.138838
 55: 69.345 ms :: 2022-11-26 17:40:39.208183
 56: 81.451 ms :: 2022-11-26 17:40:39.289633
